*** 1 - 15 (/course/66669/1-5000-arabic-frequency-audio/1/)	
الـ	The
جُمْرُك	customs; الجَمارِك tariffs
جَمَل	camel
جانٍ	"delinquent, criminal (not مجرم، مرتكب)"
صَحْوَة	"awakening, revival; resurgence"
طُمَأْنِينَة	"n. calm, serenity; rest, repose"
إِتْمام	completion; realization (≠ إِكْمال - اِكْتِمال)
عَتْمَة	"n. dark, gloom (not ظلمة)"
دِبلُوماسِيَّة	diplomacy
وَيْل	distress; woe
*** 3996 - 4010 (/course/66669/1-5000-arabic-frequency-audio/267/)	
جَهْد/جُهْد	effort; endeavor
جَوْهَر	jewel; essence
حُجْرَة	"room, chamber; cell"
حُزْمَة	"bundle; set, collection (not رزمة)"
حَلِيف	"ally, allied"
حَلْقَة/حَلَقَة	"ring; circle; program, show"
حامٍ	n. guardian; adj. hot
حافِز	"incentive, stimulus, motive"
حِيلَة	"trick, ruse"
خَصِيصَة	n. characteristic
خُطْبَة	speech; sermon
خُطَّة/خِطَّة	"plan, project"
خَطْوَة/خُطْوَة	stride
خاطِرَة	idea / thought (not فكرة)
خَيْمَة	tent
نَحْل	(coll.) bees
اِزْدِهار	"blossoming, prosperity"
زَكاة	almsgiving (in Islam); charity
خِتامِيّ	"concluding, final"
مُصادَرَة	"confiscation, seizure; expropriation"
نِقاب	veil (not سِتار)
*** 4011 - 4025 (/course/66669/1-5000-arabic-frequency-audio/268/)	
دُهْن	"oil, grease, fat (esp. in food)"
داجِن	domesticated
ذِئْب	"wolf, jackal"
رَحْبَة	open area; vastness
رُخْصَة	"license, permit"
رِفْقَة	"company, group (not مرافقة)"
رُومِيّ	Byzantine
رَوْضَة	garden
زَبُون	"customer, client"
سِيجارَة	cigarette;
سَطْر	"line, row"
سَمّ	"poison, toxin"
سالِفَة	chat; story (Irq.Gul)
سائِل	"fluid, liquid"
سائِح	tourist
مُقاوِم	antagonist a.p. resisting
حَنُون	"affectionate; loving, dear"
اِحْتِواء	"vn. containing, including; controlling, holding back, curbing; n. inclusion, content"
نَخِيل	date palms
*** 4026 - 4040 (/course/66669/1-5000-arabic-frequency-audio/269/)	
شِرْيان	artery
شُعْبَة	"branch, department (not فرع)"
شَمْعَة	candle
صَبِيَّة	"girl, young girl (not بنت، طفلة، فتاة)"
صانِع	manufacturer; maker
طاغٍ	(adj.) tyrannical; tyrant
طابَع/طَبِع	"stamp, mark; feature"
ظُلْمَة	darkness
عِبْرَة	"lesson, moral"
عَجِيبَة	"marvel, wonder"
عَشِيرَة	"clan, tribe"
عُصْفُور	"bird, sparrow"
عُقْدَة	complex (emotion); knot
عاقِل	rational; n. sane person
عُلْبَة	"can; case, box; pack"
مِيزَة	"characteristic, feature; merit (not سمة، معلم، صفة)"
رُوَيْداً	"slowly, gradually (not تدريجيا)"
أُوف	ugh! phew!
نَدىً	dew; generosity
مَذْهَبِيّ	"doctrinal, sectarian"
لَوَّحَ	to wave at s.o.; to hint at ب sth.
*** 4041 - 4055 (/course/66669/1-5000-arabic-frequency-audio/270/)	
عِماد	pillar (not عمود); (mil.) major general
عاقِبَة	"consequence, result, effect (not نتيجة، أثر)"
عائِق	"obstacle, hurdle (not عقبة)"
عَيِّل	"child, kid (not طفل، ولد)"
غَيْمَة	cloud
فَتْوَى	fatwa (legal opinion)
فارِسِيّ	Persian
فِقْرَة/فَقْرَة	paragraph
فَقِيه	faqih (legal expert)
فاكِهَة	fruit
قَذِيفَة	"shell, bomb (not قنبلة)"
قَطْرَة	drop
قَمِيص	shirt
قافِلَة	"convoy, column"
كافِر	kafir (non-believer)
زَحْمَة	(traffic) congestion; crowd (not ازدهام)
البِرّ	charity; righteousness
مُتَغَيِّر	a.p. changing; n. variables
مُلْتَزِم	"committed (to); involved, loyal"
حَيَوِيَّة	"vigor, vitality; liveliness"
*** 4056 - 4070 (/course/66669/1-5000-arabic-frequency-audio/271/)	
كُلْيَة	kidney
كَنِيسَة	church; temple
كَنْز	treasure
كَأْس	cup; Cup (prize)
لِصّ	thief
مارّ	"n. pedestrian, passerby"
مَجْرىً	"course, path; (pl) events"
مَحْفِل	"gathering, assembly; (pl) circles, groups"
مُحْتَوىً	content (subst)
مِحْنَة	"test; trial, ordeal"
مَرْجِع	source; authority
مَرْسَم	art studio
مَزِيَّة	"feature; advantage (not مصلحة، فائدة، ميزة)"
مَسْعىً	"effort, endeavor (not محاولة، مجهود، جهد)"
مَسْكَن	"residence, domicile (not إقامة، منزل)"
*** 4071 - 4085 (/course/66669/1-5000-arabic-frequency-audio/272/)	
مَصْرُوف	expense; allowance (not نفقة)
مَعْدِن	"mineral, metal"
مَعْمَل	laboratory; facility
مَفْصِل	(anat.) joint; juncture
مَقْطَع	"section; selection, excerpt (not قسم، فرع)"
مِقْياس	"standard, measure"
مَكْسَب	"gain, profit (not ربح، حصول)"
مِلْعَقَة	spoon
مِنْبَر	"pulpit, rostrum"
مْنِيح	"good, fine (Lev)"
مَنْفَذ	exit; escape; gateway
مُنْشَأَة	"facility, installation, plant (not مصنع، معمل)"
مَوْطِن	home country; area
مِيعاد	"appointment; promise (not موعد، تعيين)"
مَوْهِبَة	"talent, gift (not مهارة، كفاءة)"
حَـ	"(Egyptian Dia.) prefix for verb (future, with imperf.) will"
هُوَّة	"abyss, chasm; gulf, gap (not فجوة)"
تَضَخُّم	(econ.) inflation
مُطْمَئِنّ	adj. calm; relieved; certain (إلى about) (ptc)
جَبان	"adj. coward, cowardly; n. coward"
رافِد	n. tributary; (pl) Tigris and Euphrates
*** 4086 - 4100 (/course/66669/1-5000-arabic-frequency-audio/273/)	
نَصْرانِيّ	Christian (not مسيحي)
ناقِد	critic
هاجِس	worry; apprehension
وَحْش	beast
وَفْد	delegation (not بعثة)
مُدَّعٍ	"plaintiff, prosecutor; a.p. alleging"
زَرْع	planting; growing; farming (inf I)
مِنَصَّة	"platform, podium (not منتدى)"
مُرِيح	"pleasant; soothing, restful"
حَلاوَة	"pleasantness; sweets, candy, (Magh.) حَلوَة"
راضٍ	"pleased, satisfied; accepting"
مُتْعَة	"pleasure, enjoyment (not سرور،، سعادة، ممتع)"
لَذَّة	"pleasure, joy, delight, enjoyment (not سرور، بهجة)"
رُقْعَة	plot of land; (chess) board
تَعَدُّد	"pluralism, multi- (not تعددية)"
عُمْرانِيّ	"architectural; civilized, populated"
إِكْمال	"completion, conclusion; perfection (≠ إتمام - اِكْتِمال)"
فَسِيح	"wide; lengthy; ample, roomy (not واسع)"
عَجَلَة	"wheel, tire"
مَرْئِيّ	visual; visible (≠ بَصَرِيّ - تشكيليّ)
مُرُورِيّ	adj. traffic-related
*** 4101 - 4115 (/course/66669/1-5000-arabic-frequency-audio/274/)	
مُنَوِّها	pointing out ب/إلى أَنَّ that  (not مشيرة إلى)
اِسْتِقْطاب	"polarization, attraction"
شُرْطِيّ	"police officer, policeman"
تَلَوُّث	"pollution, contamination"
نَقّال	portable (not محمول)
مَحْمُول	portable; n. mobile (phone)
بُرْتُغالِيّ	Portuguese
اِمْتِلاك	possession; control; seizure (inf VIII)
تَأْجِيل	postponement; deferment
ثَناء	"praise, commendation; appreciation"
مُصَلٍّ	praying; n. pl. -uun person praying
تَهْيِئَة	"preparation, arrangement (not إعداد، استعداد، تحضير)"
تَمْهِيد	"preparation; facilitating (ptc II not تحضير، تسهيل)"
تَجْهِيز	"preparing; n. pl. -aat equipment (ptc II not تمهيد، تحضير)"
تَواجُد	presence; existence
اللّاتِي	"(fem.pl.) who, whom (not اللَّواتِي)"
حَلْوَى	"pastry, dessert"
دُكْتُوراه	doctorate
مَشْرِق	"East, Levant"
*** 4116 - 4130 (/course/66669/1-5000-arabic-frequency-audio/275/)	
وَطْأَة	"pressure, gravity; harshness, cruelty (not ضغط)"
تَبْرِير	pretext; vindication
وِقايَة	prevention; precaution; protection
أَسْبَق	"previous, former; earlier"
فَخْر	pride; boasting
مَطْبُوع	printed; n. مَطْبُوعات publications
خُصُوصِيّ	"private, personal; special"
خَصْخَصَة	privatization
مُشْكِل	"problem, difficulty"
رَكْب	"procession; entourage, retinue"
تَوْلِيد	"producing, generating (energy)"
إِخْراج	production; extraction; removal
إِنْتاجِيّ	production-related; productive
اِحْتِراف	professionalism
حَظْر	"prohibition, ban; embargo"
مُتَسائِل	"asking oneself, wondering"
مَوْلِد	"birthday, anniversary; birthplace"
حَرْق	burning; n. burn (wound)
رامِي	aimed (at); n. archer
اِرْتِداء	"wearing, putting on (clothes)"
إِلٰهِيّ	"(adj) divine, holy; theological"
قُبَّة	"dome, cupola"
*** 4131 - 4145 (/course/66669/1-5000-arabic-frequency-audio/276/)	
نُطْق	pronunciation; utterance
ثَبات	"proof, corroboration; constancy, firmness"
إِثْبات	proof; verification (IV)
مِلْكِيَّة	"property, ownership, possession (not ممتلكات)"
نُبُوَّة	prophethood; prophecy
نَبَوِيّ	prophetic
تَسْيِير	"propulsion; steering, guidance"
ذِمَّة	"protection, security; conscience"
وِقائِيّ	protective; preservative; preventive
تَزْوِيد	"providing, supplying (ب with)"
عَلَنِيّ	"public, open"
ناشِر	publisher
ضَخّ	pumping; injecting
مُعاقَبَة	"punishment, sanction (م)"
نَقِيّ	"pure, clean; undiluted"
عِنَب	coll.n. grapes
غَزِير	"abundant, plentiful; substantial"
مُراسِل	"correspondent, reporter"
*** 4146 - 4160 (/course/66669/1-5000-arabic-frequency-audio/277/)	
بَحْت	"pure, exclusive"
هادِف	purposeful; aimed at
مَنْشُود	"pursued, sought; n. goal"
اِتِّباع	"pursuing, following; compliance (inf VII)"
مُلاحَقَة	"pursuit, chase; legal prosecution"
قِبْلَة	qiblah (direction faced in prayer)
تَأَهُّل	(inf V) qualification; marriage
مُؤَهَّل	qualified; competent
اِسْتِفْتاء	"questionnaire, poll; referendum"
سُكُون	"quiet, calm; rest, repose (not هدوء)"
قُرْآنِيّ	Qur'anic
عُنْصُرِيَّة	racism
عُنْصُرِيّ	racist
جِذْرِيّ	"radical, fundamental, basic"
رادِيُو	radio (not إذاعية)
تَعاقُد	"(vn VI) contract, mutual agreement"
شُبّاك	window (≠ نَافِذة)
مَخْلُوق	adj. created; n. creature
فِنْجان	"cup, coffee cup"
سُدّ	dam
*** 4161 - 4175 (/course/66669/1-5000-arabic-frequency-audio/278/)	
تَظاهُرَة	"rally, demonstration (not مظاهرة)"
عَشْوائِيّ	"random, indiscriminate, arbitrary"
قَلَّما	rarely; hardly (not نادرا)
إِقْرار	"ratification, confirmation (IV)"
تَقْوِيم	"rating, valuation; calendar"
رَشِيد	"rational, sensible, wise"
بُلُوغ	"reaching, attaining (inf) (not حصول)"
واقِعِيَّة	"realism, reality"
إِدْراك	"realization, awareness; attainment"
تَمَرُّد	"rebellion, insurgency, insurrection"
اِسْتِلام	"receiving, accepting (not تلقي)"
تَلَقِّي	"receiving, receipt; acquisition (not استلام)"
اِلْتِقاط	receiving; taking (photos)
مُتَلَقٍّ	"recipient, (person) receiving"
مُسَجِّل	recorder; a.p. recording
بُنِّيّ	brown
خَشَب	wood;
نَسِيم	"breeze, wind"
غَيْب	"(what is) invisible, concealed"
مَحْض	"(invar.) pure, mere (fantasy)"
مُنَسِّق	coordinator
فاعِلِيَّة	effectiveness; activity
*** 4176 - 4190 (/course/66669/1-5000-arabic-frequency-audio/279/)	
تَقْلِيص	"reducing, shrinking, cutting back"
تَأَمُّل	reflection; pondering
ثَلّاجَة	refrigerator; freezer
مَأْوىً	"refuge, shelter"
مُدْرَج	"registered, listed; included (not مسجل)"
مُسَجَّل	"registered, recorded"
مُنْتَظِم	"regular, systematic; orderly"
تَرْسِيخ	"reinforcing, bolstering"
زِمام	reins
مَرْفُوض	rejected; unacceptable
رافِض	"rejecting, refusing; n. rejectionist"
مُرْتاح	relaxed; at ease; happy
فَرَج	"relief, relaxation, happiness"
فَرِيضَة	religious duty
مُتَبَقٍّ	remaining; n. rest (V)
لا مَحالةَ	"without fail, without a doubt (not بلا شك)"
سَعَة	"volume, capacity"
*** 4191 - 4205 (/course/66669/1-5000-arabic-frequency-audio/280/)	
تَذْكِير	reminding (ptc II)
نَدَم	"remorse, regret"
عَزْل	"removal, dismissal; n. isolation (I, not نزع)"
نَزْع	"removal; elimination; deposition (I, not عزل)"
إِبْعاد	"removal; exile (IV, not  إزالة)"
مُتَكَرِّر	"repeated, recurring; frequent"
تَوْبَة	"repentance, penance (not ندم)"
تَبْدِيل	"replacement, substitution (not تعويض، عوض)"
عِوَض	"replacement; compensation (not تعويض، تبديل); instead of"
نَشْرَة	"report, bulletin; publication"
مُنْكَر	reprehensible; n. vice
مُتَمَثِّل	represented (في in); present (في in)
جُمْهُورِيّ	republican; Republican
سُمْعَة	reputation
شُهْرَة	"reputation, fame"
اِخْتِطاف	abduction; hijacking (not I)
إِغاثَة	"aid, relief assistance"
*** 4206 - 4220 (/course/66669/1-5000-arabic-frequency-audio/281/)	
مَرْجُوّ	"requested, desired, wished for (not مطلوب، منشود)"
مُسْتَلْزَم	required; n. -aat requirements
شَبِيه	"resembling, similar to"
حَجْز	"reservation (seat, room); confiscation"
اِحْتِياطِيّ	reserves; adj. precautionary
سُكّانِيّ	"residential, population-related"
اِسْتِقالَة	resignation
مَناعَة	"resistance, immunity"
مُجِيب	responding; n. respondent
تَجاوُب	responsiveness (to need); rapport
تَرْمِيم	"restoration, renovation (inf II)"
نِتاج	"result, outcome; production (not نتيجة، حصيلة)"
حَصِيلَة	"result, outcome (not نتاج، نتيجة); sum; revenue"
تَقاعُد	retirement
لا رَجْعَة	"no return, no turning back"
في خِضَمِّ	in the middle of (fig)
حاسِب (الحاسب الآلي)	calculator; الحاسِب الآليّ computer
مُشار	the aforementioned
غُمُوض	"vagueness, obscurity"
*** 4221 - 4235 (/course/66669/1-5000-arabic-frequency-audio/282/)	
رُجُوع	vn. return; reversing عن (one's decision)
مَرْدُود	"returns, revenue, yield (not عوائد)"
ثَأْر	revenge (not اِنْتِقام)
اِنْتِقام	"revenge (not ثَأْر); retaliation, reprisal"
هَيْبَة	"reverence, respect; dignity, prestige; fear, awe"
اِسْتِعْراض	"review, inspection; tour; parade"
إِحْياء	reviving; commemorating
ثَوْرِيّ	revolutionary
أَرُزّ/رُزّ	rice
بُنْدُقِيَّة	"rifle; gun, weapon"
خاتَم	"ring; seal, stamp"
تَصاعُد	"rise, ascent; escalation"
رِيال	riyal (currency)
سَلْب	"robbing, depriving; سَلْباً negatively"
حَبْل	rope; cable
مُواكَبَة	vn. accompanying; escorting (not مُصاحِب)
قاع	"bottom, floor"
خَلْفِيّ	"(adj) back, rear, end; background"
حَيَوانِيّ	"(adj) animal, animal-like, zoological"
تَعايُش	"coexistence, living together"
*** 4236 - 4250 (/course/66669/1-5000-arabic-frequency-audio/283/)	
وَرْدِيّ	"rose-colored, rosy, pink"
مُسَوَدَّة	rough draft
كُرَوِيّ	round; relating to football (soccer)
خَراب	"ruins, destruction (not دمار)"
اِسْتِبْعاد	ruling out (considering as unlikely)
رِيفِيّ	"rural, countryside; rustic"
أَضْحَى	"sacrifice (Eid), immolation"
فِداء	sacrifice; self-sacrifice
سالِم	"safe, secure, intact (not آمن)"
اِحْتِفاظ	"safeguarding, preservation (inf VIII)"
تَخْزِين	storage; safekeeping (inf II)
أَمْنِيّ	"(adj) safety, security"
صَحابَة	Sahaba (companions of the Prophet)
صالُون	"salon, chat room, parlor (not صالة، قاعة)"
مِلْح	"salt, (Magh.) مْلْحة"
تِلْقائِيّ	(adj) automatic
بَلاغ	communiqué; notice
مُعْضِلَة	"dilemma, problem, difficulty"
عاذَ	to take refuge بِالله in God
*** 4251 - 4265 (/course/66669/1-5000-arabic-frequency-audio/284/)	
حُرْمَة	"sanctity; taboo; married woman, wife"
سُخْرِيَّة	"sarcasm, cynicism; ridicule"
ساخِر	satirical; a.p. ridiculing
اِكْتِفاء	"satisfaction; sufficiency, adequacy (vn VIII)"
مُقْتَنِع	"satisfied, content; convinced"
شَرِس	"savage, fierce"
فَضِيحَة	"scandal; disgrace, shame"
مُنْتَشِر	"scattered, spread out, prevalent"
سِينارِيو	scenario
ثانٍ	"second, additional; next, following"
ثانَوِيَّة	"secondary school, high-school"
طائِفِيَّة	"sectarianism, factionalism"
عَلْمانِيّ	secular
عَلْمانِيَّة	secularism
وَثِيق	"secure, solid; steady, reliable"
راغِب	"(person) wanting, desiring sth."
اِنْدِلاع	"breaking out, flaring up (fire, war)"
بَدَنِيّ	"bodily, physical (not جسدي)"
نَعِيم	"comfort, luxury, happiness; Paradise"
وَتِيرَة	"way, style; method (not طريقة)"
تَشْوِيه	distortion
اِمْتِياز	"distinction, excellence; privilege"
*** 4266 - 4280 (/course/66669/1-5000-arabic-frequency-audio/285/)	
اِسْتِعانَة	seeking help ب from
بائِع	selling; n. seller
إِيصال	sending; transporting; inf IV not إرسال
حِسّ/حَسّ	"sensation, feeling; sound, noise (not إحساس)"
حَسّاس	sensitive
حَسّاسِيَّة	sensitivity; allergy
مُنْفَصِل	"separate, disconnected"
اِنْفِصال	"separation, breakup; secession"
غُرُوب	setting; غروب الشَّمْس sunset
مُسْتَقِرّ	"settled, at ease; stable, permanent"
حَسْم	"settling (a matter, dispute) (not فَضّ)"
فَضّ	settling (disputes) (not حَسْم); breaking up
سَبْعِين	seventieth year; السبعينات the 70s
سَبْعِينِيّ	seventieth; n. السبعينيات the 70s
سَبْعُون	seventy; seventieth
سائِل	asking; requesting; n. beggar
جُنْد	"army, soldiers (not جيش، عسكر)"
مُتَرَتِّب	"derived from; associated with; arranged, regulated"
*** 4281 - 4295 (/course/66669/1-5000-arabic-frequency-audio/286/)	
صارِم	"severe, strict; ruthless (not شديد)"
عار	"shame, disgrace, scandal (not حياء، عيب، خجل)"
خَجَل	"shame, shyness (not عار، عيب، حياء)"
فادِح	"serious, grave; heavy"
مُساهِم	"shareholder, stockholder"
مَلْجَأ	"shelter, refuge (not مأوى، ملاذ)"
دِرْع	"shield, armor; plaque (award)"
مَرْكَب	"ship, vessel (not باخرة، زورق، شفينة)"
صَدْمَة	"shock, blow"
حِذاء	shoe; pair of shoes
تَسَوُّق	shopping (inf V)
قُصُور	shortcoming; negligence (inf I)
عاتِق	shoulder (not كتف)
صَرْخَة	"shout, scream"
صُراخ	"(n) shouting, screaming"
خَلَّفَ 	to give birth to (a child); to appoint sb as successor; to leave sth behind
شَغّال	"busy, occupied; in operation"
مَزِيج	"combination, mixture, blend"
*** 4296 - 4310 (/course/66669/1-5000-arabic-frequency-audio/287/)	
صارِخ	"(ptc) shouting, screaming"
داء	sickness; disorder
رَصِيف	sidewalk; platform
مَرْأَى	"sight, view (not بصر، رؤية، منظر)"
سُكُوت	"silence, calm (not صمت، هدوء)"
حَرِير	silk
فِضِّيّ	silver  (adj)
مُشابِه	similar (III)
أَبْسَط	simpler/simplest; more/most basic
مُذ	"since, ago (not منذ)"
إِخْلاص	sincerity; loyalty
جُلُوس	"sitting down, being seated (inf)"
وَضْعِيَّة	"situation, status; position (not وضع)"
سِتِّين	sixtieth year; الستينات the sixties
بَشَرَة	"skin, epidermis"
بَصَل	coll.n. onions
مُذِيع	"broadcaster, announcer"
أَثَرِيّ	archeological; historical
*** 4311 - 4325 (/course/66669/1-5000-arabic-frequency-audio/288/)	
مَنام	sleep (not نوم); sleeping place
سَهَر	"sleeplessness; watchfulness, vigilance"
بَطِيء	slow
بُطْء	slowness; بِبُطْءٍ slowly
ضَئِيل	"small, meager, sparse"
صِغَر	"smallness; youth, infancy"
بَسْمَة	smile (not ابتسام)
مُبْتَسِم	smiling
تَهْرِيب	smuggling (goods or persons)
ثَلْج	snow; ice
فُلان	so-and-so; such-and-such
مَزْعُوم	"so-called; alleged, claimed (not ما يسمى)"
اِشْتِراكِيّ	socialist
مُجْتَمَعِيّ	societal
سَهْرَة	"soiree, evening gathering"
تَوافُر	availability
مُتَمَنِّي	"wishing, desiring; hoping for"
كُلِّش	"very, a lot (Irq.Gul)"
بَوْل	urination; urine
بادِيَة	"desert, wilderness"
بَوْح	"uncovering; disclosure, confession (not كشف)"
مُوَزَّع	"distributed, scattered (among)"
*** 4326 - 4340 (/course/66669/1-5000-arabic-frequency-audio/289/)	
شَمْسِيّ	"solar, sun-"
مَبِيع	sold; n. مَبِيعات sales
نَفَر	"group, party; soldier, private; person, individual (in a population)"
صُومالِيّ	Somali
ساحِر	"sorcerer, magician; adj. charming"
آسِف	"sorry, regretful"
سوفياتي	Soviet (adj)
شِبْر	span of the hand or foot
بَرِيق	sparkle; shine
مُخاطِب	"speaker; adj. addressing, speaking to"
مُخاطَبَة	speaking to (inf); n. conversation
اِخْتِصاص	"specialty; jurisdiction, domain"
نَوْعِيّ	"specific, characteristic; qualitative"
تَخْصِيص	specification; allocation
طَيْف	spectrum (light); ghost
شَوْك	"(coll.) thorns, un.n. fork"
هُولَنْدِيّ	Dutch
تَنَقُّل	transfer; movement; transportation (V)
*** 4341 - 4355 (/course/66669/1-5000-arabic-frequency-audio/290/)	
إِنْفاق	"spending, expenditure; expenses (inf IV)"
حَيِّز	"sphere, scope; field, area (not نطاق، مجال)"
فَقْرِيّ	"spinal, vertebral"
دَوّامَة	"spiral; dizziness, confusion"
رُوحِيّ	spiritual; alcoholic
مُشْرِق	"splendid; bright, auspicious"
شَقّ	"splitting, opening; crack, gap"
فاسِد	"spoiled, rotten; corrupt, immoral"
بُقْعَة	spot;  region
إِسْتاد	stadium (not مُدرَخ)
طَوْر	"stage, phase; period, time (not مرحلة)"
وَقْفَة	"stance, posture; pause, break"
نَجْمَة	star; female celebrity
اِنْطِلاقَة	"start, launch, outset (not إنطلاق)"
مَقُولَة	"statement, proposition; expression"
قَوْس	"bow, arc; (dual) parentheses"
جَوْف	abdomen; cavity
زِرّ	"button; (push) button, switch button"
حَذْف	"deletion, omission"
*** 4356 - 4370 (/course/66669/1-5000-arabic-frequency-audio/291/)	
تِمْثال	statue
قامَة	"stature, status; height"
صُمُود	"steadfastness, determination"
سَرِقَة	"stealing, theft"
عَتَبَة	"(door)step, stair; threshold"
دَرَج	"step, stairs; route, course"
عَصاً	"stick, rod"
تَحْرِيك	"stimulating, activating, putting in motion, making move"
تَنْشِيط	"stimulation, encouragement, energizing"
مَعِدَة	stomach
إِيقاف	"stopping, detaining  (inf IV)"
مَخْزُون	stored; in stock; n. supplies
راوٍ	storyteller; reciter (of poetry)
مُسْتَقِيم	"straight, correct; righteous  (not سَوِيّ)"
سَوِيّ	"straight, correct (not مُسْتَقِيم)"
ثَمانِين	eightieth year
تَفاقُم	"aggravation, exacerbation; worsening"
أهو	(Dia.) here he is
عِيادَة	"clinic, outpatient clinic"
صَمِيم	"n. depth, innermost part; adj. true, genuine"
غارِق	drowned; engrossed in
جالَ	to wander
سَوِيّاً	"together (adv, not معا)"
*** 4371 - 4385 (/course/66669/1-5000-arabic-frequency-audio/292/)	
غَرابَة	"strangeness, oddness"
سَيْل	"(vn) stream(ing), flow(ing)"
تَقْوِيَة	"strengthening, reinforcement (not تعزيز، تعديم، تشديد)"
جاهِد	"strenuous, vigorous; striving"
مُمْتَدّ	"stretching, extending; spreading"
اِجْتِياح	"strike, invasion"
أَعَزّ	stronger/strongest; dearer/dearest
قَلْعَة	"stronghold, fort"
تَرْكِيبَة	"structure, composition"
هَيْكَلَة	structuring; n. framework
نِضال	"struggle, battle (not صراع، كافح)"
كِفاح	"struggle, fight (not صراع، نضال)"
طُلّابِيّ	student-related
مَدْرُوس	"studied, planned; calculated"
غَبِيّ	"stupid, ignorant"
جَلِيّ	"clear, obvious (not واضح)"
اِكْتِمال	completion; perfection  (≠ إتمام - اِكْمال)
باكٍ	weeping; mourning (ptc)
عُلْوِيّ	"upper, top; superior"
*** 4386 - 4400 (/course/66669/1-5000-arabic-frequency-audio/293/)	
خُضُوع	"submission, subjection (inf I)"
اِشْتِراك	subscription; participation (inf VIII)
اِسْتِبْدال	substitution; exchange (inf X)
مُوَفَّق	successful; fortunate
خِلافَة	succession; caliphate
اِنْتِحار	suicide (inf VIII)
إِجْمال	"sum, whole (inf IV); إِجْمالاً in general"
اِسْتِدْعاء	"summons, call, appeal; recall (inf X)"
مَغْرِب	sunset; Morocco
سُوبَر	"super (in سوبرماركت ""supermarket"")"
مُسانَدَة	"support, aid (not مساعدة)"
مَدْعُوم	"supported, bolstered"
تَدْعِيم	"supporting, backing"
عَلِيّ	"supreme, exalted; العَلِيّ (God)"
مُتَأَكِّد	"sure, convinced (من of)"
كَهْف	"cave, cavern; hole, cavity"
بَدِيع	"wonderful, magnificent (not رائع)"
ماسّ	"urgent, pressing; touching (≠ عاجل - طارِئَة )"
مُتَفاوِت	"adj. different, diverse (not مختلف، متنوع)"
مُصَمِّم	adj. determined; n. designer
*** 4401 - 4415 (/course/66669/1-5000-arabic-frequency-audio/294/)	
بَلَى	"sure, yes (after a negation)"
جِراحَة	surgery
جِراحِيّ	surgical
دَهْشَة	surprise; confusion (not فَجْأَة)
فَجْأَة	surprise; (not دَهْشَة)
تَخَلِّي	"surrender, renunciation (من of) (not اِسْتِسْلام)"
اِسْتِسْلام	surrender; resignation (not تَخَلِّي )
مَسْح	survey; wiping; sweeping (inf I)
نَجاة	"survival, deliverance, salvation; escape"
مُعَلَّق	"suspended, pending, outstanding"
مُسْتَدام	sustainable (development)
عَرَق	sweat; araq (alcoholic drink)
سِباحَة	swimming (inf I)
رَمْزِيّ	symbolic; encoded (data)
تَعاطٍ	taking (medicine); handling (inf VI)
وَجَع	"ache, pain (not ألم)"
كَنَدِيّ	Canadian
اِسْتِبْداد	tyranny
اِسْتِغْناء	doing without sth. (inf X)
*** 4416 - 4430 (/course/66669/1-5000-arabic-frequency-audio/295/)	
تَفْكِيك	taking apart; separating; dissolution (inf II)
تَوَلٍّ	"taking charge, assuming responsibility  (inf V)"
دائِر	"taking place, happening; ongoing (not دائم، مستمر، متواصل)"
عُرْضَة	"target, object (of criticism) (not غرض، هدف)"
مُسْتَهْدَف	"targeted, aimed at, intended (ptc X)"
اِسْتِهْداف	"targeting, intending; n. allergy"
تَقْنِيّ	technical
بَرْقِيَّة	telegram
تِلْفاز	television set
عارِم	"tempestuous, frenzied"
مَيْل	"tendency; leaning, sympathy"
شاكِر	"thankful, grateful (not ممتن)"
ذٰلِكَ	that (masc.sg.)
هَذاك	"that, that one"
عِنْدَئِذٍ	"then, at that time"
قُدُوم	"arrival (not وصول، حلول); entering (a room)"
زِحام	"crowd, throng; (traffic) congestion (not ازدحام)"
بَصَرِيّ	visual; optical (≠ تشكيليّ - مرئيّ)
مَقْرُبَة	"vicinity, proximity;"
*** 4431 - 4445 (/course/66669/1-5000-arabic-frequency-audio/296/)	
حِينَئِذٍ	"then, at the time (not عندئذ)"
نَظَرِيّ	theoretical
عِلاجِيّ	"therapeutic, healing, curative"
هيـ/هيا	there he/it is (Lev)
ماكو	there isn't (Irq.Kuw.)
حَرارِيّ	"thermal, caloric, heat-related"
هٰؤُلاءِ	these (people)
هاتانِ	these two (fem.)
هُنَّ	they (fem.pl.)
كَثافَة	"thickness, density; intensity"
هٰذِهِ	"this (fem.), these (things)"
هٰذا	this (masc.)
هاذ	this (masc.) (Lev. Irq. Gul)
هَيْدا	this (masc.)(Lev)
مُهَدَّد	"threatened; in danger, at risk"
تِسْعِين	ninetieth year; (pl) (the) Nineties
فَقِيد	"deceased (not راحل، ميت)"
مِساس	"violation, infringement (of) (not انتهاك)"
تَنَقُّل	transfer; movement; transportation (V)
*** 4446 - 4460 (/course/66669/1-5000-arabic-frequency-audio/297/)	
ثُلاثِيّ	"three-part, tri-; n. trio"
حَلْق	"throat; chasm, gorge"
إِلْقاء	throwing; giving (a speech) (inf IV)
رَمْي	throwing; shooting (bullets) (inf I)
إِبّان	time; إِبّانَ during
مُتْعَب	"tired, weary"
اِسْتَجابَ	"to accept, to grant; to comply with; to respond to (X)"
