*** 1 - 10 (/course/195614/spanish-nouns-5/1/)	
"el braquiópodo, el branquiópodo"	branchiopod
la disoluta	dissolute
el divulgativo	informative
la domada	Taming
el dublinés	Dublin
el edificador	builder
la edilidad	aedileship
la eglantina	"eglantine, sweetbrier"
*** 2631 - 2640 (/course/195614/spanish-nouns-5/264/)	
el eléboro	hellebore
el embaldosado	"tiling, flooring"
el empapelador	paperhanger
el emparedamiento	immurement
el emponzoñamiento	envenomation
el endosatario	endorsee
el enfrenamiento	bremsstrahlung
la engañadora	deceptive
el envanecimiento	"conceit, vanity"
el erebo	Erebus
*** 2641 - 2650 (/course/195614/spanish-nouns-5/265/)	
el escarnecedor	mocker
la espadita	little sword
el esternocleidomastoideo	sternocleidomastoid
la excrescencia	excrescence
la exosfera	exosphere
la experimentadora	experimenter
la expoliadora	exploitative
el expresidiario	ex-convict
la extracta	extracted
la ficoeritrina	phycoerythrin
*** 2651 - 2660 (/course/195614/spanish-nouns-5/266/)	
el fonendoscopio	phonendoscope
la fototerapia	phototherapy
(el)(la) funcionalista	functionalist
la gelignita	"gelignite, jelly"
el gitanismo	Gypsyism
la gorrona	"journal, scrounger, sponger"
el gravímetro	gravimeter
el guarnimiento	reeving
el hermoseamiento	beautification
la hipocicloide	hypocycloid
*** 2661 - 2670 (/course/195614/spanish-nouns-5/267/)	
el hipónimo	hyponym
el hocino	Hoshino
el idiazábal	Idiazábal
la igualadora	equalizing
la implacabilidad	implacability
la individua	individual
la inductora	inducing
el inocentón	dupe
la inquietadora	disquieting
la intelectiva	intellectual
*** 2671 - 2680 (/course/195614/spanish-nouns-5/268/)	
la intercomunión	intercommunion
la isoleucina	isoleucine
la jabonería	soap factory
el jet	"jet, jet plane, jet set"
la jodienda	fucking
el jurisprudente	jurisprudent
el kinesiólogo	kinesiologist
la ladeada	Cocked
el laparoscopio	laparoscope
la lechigada	"litter, brood"
*** 2701 - 2710 (/course/195614/spanish-nouns-5/269/)	
el recocido	annealing
el refractómetro	refractometer
la reinona	Reinón
la remolona	dragged its feet
la renegada	renegade
el revolvedor	stirrer
la rezaga	lingers
el rodapié	"skirting board, skirting, baseboard"
el saborcillo	slight taste
el samarugo	Samarugo
*** 2681 - 2690 (/course/195614/spanish-nouns-5/270/)	
la lustrina	shiny material of alpaca
el micho	puss
el mingitorio	urinal
el nano	"elder brother, friend, chum"
la neuroglia	glia
la pacha	"baby's bottle, small flat bottle"
el paragüero	"umbrella stand, umbrella maker"
el parlanchín	"chatterbox, talker"
el peripatético	Peripatetic
la proctología	proctology
*** 2691 - 2700 (/course/195614/spanish-nouns-5/271/)	
el prolapso	"prolapse, prolapsus"
la pulidora	polisher
el pulidor	"polisher, buff"
la punica	Punic
el rallo	"grater, rasp"
la ramplona	vulgar
la raptora	enrapturing
el rastrillaje	raking
la rasuradora	razor
la reciprocación	reciprocation
*** 2721 - 2730 (/course/195614/spanish-nouns-5/272/)	
la supererogación	supererogation
la tabuladora	tabulator
el tamandúa	tamandua
(el)(la) tarahumara	Tarahumara
la tiempla	tightens
la tifoidea	typhoid
el toallero	"towel rail, towel rack"
la tomatada	Tomatada
el triásico	Triassic
el vaciadero	dump
*** 2711 - 2720 (/course/195614/spanish-nouns-5/273/)	
la sardónice	sardonyx
el secretillo	little secret
la secuestración	sequestration
la sedosidad	silkiness
la semisuma	semisum
el servofreno	servobrake
la sofrenada	pull
el spaniel	spaniel
el subyugador	subjugator
la sumaca	two-master
*** 2731 - 2740 (/course/195614/spanish-nouns-5/274/)	
el vasodilatador	vasodilator
la venturina	aventurine
la vigorosidad	vigor
(el)(la) vinícola	wine producer
el zumbador	buzzer
el tragón	"glutton, pig"
el congelado	freezing
la tontera	"trivial matter, stupid thing"
(el)(la) radioyente	radio listener
los accipítridos	accipiters
*** 2741 - 2750 (/course/195614/spanish-nouns-5/275/)	
(los)(las) adamitas	Adamites
(los)(las) adenoides	adenoids
los desaconsejados	advised against
los eolios	Aeolians
(los)(las) alópatas	allopathic
el andorrano	Andorran
la angulosidad	angularity
(el)(la) anticlerical	anticlerical
el antillano	Antillean
la antitoxina	"antitoxin, antivenin"
*** 2761 - 2770 (/course/195614/spanish-nouns-5/276/)	
(el)(la) dental	"beam, dental, dental sound"
(el)(la) beatnik	beatnik
el begardo	Beghard
el berberisco	Berber
el motero	biker
el carrocero	body-builder
los bolivarianos	Bolivarian
el listillo	bright spark
la bronquiectasia	bronchiectasis
las topadoras	bulldozers
*** 2751 - 2760 (/course/195614/spanish-nouns-5/277/)	
(el)(la) acuarelista	aquarellist
la arteritis	arteritis
el articulador	articulator
la aspirada	aspirate
los acometedores	assailants
el sobrado	"attic, garret"
(el)(la) autonomista	autonomist
la enartrosis	ball and socket
(el)(la) bantú	Bantu
(los)(las) baptistas	Baptists
*** 2771 - 2780 (/course/195614/spanish-nouns-5/278/)	
los calamones	cabochons
los californios	Californians
(el)(la) canonista	canonist
los caprimulgiformes	Caprimulgiformes
el cartagenero	Cartagena
el causador	causer
el silletazo	chair shot
el cerero	Chandler
el escarmentado	chastened
el cloramfenicol	chloramphenicol
*** 2781 - 2790 (/course/195614/spanish-nouns-5/279/)	
las clorofitas	chlorophytes
(el)(la) limpiacristales	cleaner
(el)(la) soplapollas	cocksucker
(los)(las) conceptualistas	conceptualist
el confederado	confederate
los adjudicadores	contracting
la albardilla	"coping, small cushion, bard"
las nécoras	crabs
los crinoideos	crinoids
el viajador	cruiser
*** 2791 - 2800 (/course/195614/spanish-nouns-5/280/)	
(el)(la) machacante	crushing
los gritadores	crying
el cristalito	crystallite
el cuboide	cuboid
los decalitros	"decaliter, decalitre"
(los)(las) derrotistas	defeatists
los discernidores	discerning
las disyuntas	disjunct
la ahogada	drowned
el montaplatos	dumbwaiter
*** 2801 - 2810 (/course/195614/spanish-nouns-5/281/)	
la tijerillas	earwigs
las enantes	enanthic
los exámenes	"examination, exam, review"
la extorsionada	extorted
la falsada	falsified
el cebadero	feedlot
las ferroaleaciones	ferroalloys
los fringílidos	finches
los pescadores	"fisher, fisherman"
la asquerosidad	foulness
*** 2811 - 2820 (/course/195614/spanish-nouns-5/282/)	
(los)(las) ludópatas	gamblers
los garranchos	Garranchos
la georgiana	Georgian
el acicalado	getting oneself ready
los necrófagos	ghouls
el calificador	grader
los colgaderos	hangers
la quedada	hangout
el helminto	helminth
el helvético	Helvetian
*** 2821 - 2830 (/course/195614/spanish-nouns-5/283/)	
el polipasto	hoist
(el)(la) homeópata	"homeopath, homoeopath, homeopathist"
el hidroplano	hydroplane
la imaginativa	imagination
los indiciados	indexed
(el)(la) internacionalista	internationalist
(el)(la) jacobita	Jacobite
la jeremiada	jeremiad
el coscojar	kermes oak
los kilociclos	kHz
*** 2831 - 2840 (/course/195614/spanish-nouns-5/284/)	
(el)(la) kosovar	Kosovo
los curdos	Kurds
los cordones	"lace, cord, cordon"
(el)(la) legalista	legalist
(los)(las) leninistas	Leninist
el leotardo	leotard
los lesbios	Lesbians
el levantino	Levantine
el lengüetazo	lick
la islilla	little island
*** 2851 - 2860 (/course/195614/spanish-nouns-5/285/)	
la orquitis	orchitis
los pulpejos	pads
el palatino	palatine
las papaveráceas	papaveraceous
el parquímetro	parking meter
el pequinés	peke
el arrumaco	petting
los filodendros	philodendron
los fotoconductores	photoconductors
los oxiuros	pinworms
*** 2841 - 2850 (/course/195614/spanish-nouns-5/286/)	
el maderero	"lumberjack, lumberman"
el macabeo	Maccabean
los malcontentos	malcontents
la guarrada	"mess, filthy mess, disgusting mess"
los minicomputadores	minicomputers
los bravíos	mischievously
(el)(la) monoteísta	monotheist
(los)(las) mitologistas	Mythologists
los letreritos	name cards
los onicóforos	onychophorans
*** 2871 - 2880 (/course/195614/spanish-nouns-5/287/)	
la pollita	pullet
el penado	punishable
el empujador	pusher
el cuasidelito	quasi delict
la increpación	"rebuke, objurgation"
(los)(las) reusenses	Reus
las mazarotas	risers
el roblón	rivet
el arrastrado	"rogue, rascal, down-and-out"
(el)(la) tolete	"rowlock, oarlock"
*** 2861 - 2870 (/course/195614/spanish-nouns-5/288/)	
los placentarios	placental
la neumoconiosis	pneumoconiosis
los abrillantados	polished
el polisíndeton	polysyndeton
los vulgarizadores	popularizers
(el)(la) prerrafaelista	pre-Raphaelite
el premolar	premolar
el pretensor	pretensioner
los prociónidos	procyonids
los aprovechadores	profiteers
*** 2881 - 2890 (/course/195614/spanish-nouns-5/289/)	
los sacramentarios	sacramentaries
el saduceo	Sadducee
los salentinos	Salento
las salicáceas	Salicaceae
la ojota	"sandal, flip-flop"
la garrapatea	scrawls
los escrofulosos	scrofulous
los engastados	seamed
el abusón	"selfish person, bully, abuser"
las semejas	semblance
*** 2911 - 2920 (/course/195614/spanish-nouns-5/290/)	
el escrutador	"teller, scrutineer, scrutator"
el trastazo	"thump, bump"
la escombrera	"tip, slagheap, dump"
los tolosanos	Toulouse
el travestido	transvestite
los triarios	triarii
la trillada	trite
los umbilicales	umbilical
los desconocedores	unfamiliar
(los)(las) uscoques	Uskoks
*** 2891 - 2900 (/course/195614/spanish-nouns-5/291/)	
el sesquiplano	sesquiplane
el chalote	"shallot, scallion"
la esquilada	sheared
el descamisado	shirtless
el espetón	"skewer, spit"
los achinados	slanted
el hondero	slinger
los fisgones	Sneakers
el michelín	"spare tyre, roll of fat, spare tire"
los gurriatos	sparrows
*** 2901 - 2910 (/course/195614/spanish-nouns-5/292/)	
las vinazas	stillage
el tachón	"stud, crossing out, deletion"
la jabonadura	suds
la barredura	sweep
el goloso	"sweet tooth, sweet-tooth"
las dulce	"sweet, candy"
el liquidámbar	sweetgum
el tapaculo	Tapaculos
el telamón	telamon
los teleósteos	teleost
*** 2931 - 2940 (/course/195614/spanish-nouns-5/293/)	
la acreedora	creditor
la albaceteña	Albacete
la moledora	grinder
la apuntadora	prompter
la bibliófila	"bibliophile, booklover"
las borregas	"yearling sheep, sheep, follower"
la cardióloga	cardiologist
el divieso	"furuncle, boil, carbuncle"
el presidiario	convict
la corintia	Corinthian
*** 2921 - 2930 (/course/195614/spanish-nouns-5/294/)	
las vejiguillas	vesicles
los vomitorios	vomitoria
los arrimaderos	wainscoting
el andar	walk
los watios	watts
las encañizadas	weirs
el trompazo	whack
la emperrada	who was determined
las mujeres	"women, ladies"
la leñadora	"woodcutter, woodsman, lumberjack"
*** 2961 - 2970 (/course/195614/spanish-nouns-5/295/)	
la acariciadora	caressing
la aclorhidria	achlorhydria
la acomodadora	usherette
el acumulamiento	buildup
el adsorbato	adsorbate
el agiotaje	"jobbery, jobbing, speculation"
la albuminuria	albuminuria
la aldabilla	latch
la alfana	Alphane
el alfolí	storehouse
*** 2951 - 2960 (/course/195614/spanish-nouns-5/296/)	
el salador	salter
el calenturiento	feverish
el linotipo	linotype
el pelador	peeler
el refinador	refiner
la ginesta	broom
el gargarismo	"gargling, gargle"
la arrocera	gate crasher
la abombada	convex
(el)(la) academicista	academic
*** 2941 - 2950 (/course/195614/spanish-nouns-5/297/)	
la enlazadora	linker
la evacuada	evacuated
la extrusora	extruder
la hispanoamericana	Spanish American
la holgazana	"idler, laggard, bum"
el guarro	"pig, hog"
el alcabalero	tax collector
la refinadora	refiner
la refugiada	refugee
el salinero	salter
*** 2971 - 2980 (/course/195614/spanish-nouns-5/298/)	
el alinde	Alinde
el almizclero	musk deer
la alometría	allometry
la alpina	Alpine
el amasamiento	kneading
la amerindia	Amerindian
la amigabilidad	friendliness
la anástrofe	Anastrophe
el anatolio	Anatolian
el ándito	Andito
*** 2991 - 3000 (/course/195614/spanish-nouns-5/299/)	
el arruinamiento	"ruin, ruination"
el asecho	stalking
la asoleada	sunstroke
el astrocitoma	astrocytoma
el atlántico	Atlantic
el atosigamiento	mobbing
la autopropulsión	self-propelled
(el)(la) autostopista	hitch-hiker
el azuzador	teasing
la babera	beaver
*** 2981 - 2990 (/course/195614/spanish-nouns-5/300/)	
la anglófona	English-speaking person
la aniquiladora	annihilating
la anona	"anona, annona"
el anticipador	anticipator
el antifonario	"antiphonary, antiphonal"
la antiguerrillera	guerrilla
la antipirina	antipyrine
el arbitrador	arbitrator
la aristoloquia	aristolochia
la arriada	lowered
*** 3001 - 3010 (/course/195614/spanish-nouns-5/301/)	
la babilonia	Babylon
el bacinete	lavatory pan
el badián	badian
el bafle	baffle
la baritina	"barytes, barite"
la batayola	nettings
la becada	woodcock
el benzol	benzol
la betarraga	beetroot
la bigornia	anvil
*** 3011 - 3020 (/course/195614/spanish-nouns-5/302/)	
la bioelectricidad	bioelectricity
la bizquera	squint
el bobillo	bobbin
la bonachona	natured
el bonetillo	Bonetillo
la bramadera	bullroarer
la bromatología	bromatology
el bujedo	Bujedo
el cabalgador	Cabalgador
el cabracho	scorpionfish
*** 3021 - 3030 (/course/195614/spanish-nouns-5/303/)	
el cachupín	Cachupín
la cagalera	"diarrhoea, the shits, the runs"
el camarico	Camarico
la cañafístola	canafistola
el caracoleo	snailing
la caraja	karaya
el cartelero	"poster, billsticker, billposter"
el casamentero	"matchmaker, marriage broker"
el castóreo	castoreum
la cayada	Cudgel
*** 3031 - 3040 (/course/195614/spanish-nouns-5/304/)	
la chalota	shallot
el cheurón	chevron
el cianato	cyanate
el cimbel	decoy
el cobardón	coward
la colegiada	collegial
la coloquíntida	bitter apple
el colorímetro	colorimeter
(el)(la) comanche	Comanche
la confutación	refutation
*** 3041 - 3050 (/course/195614/spanish-nouns-5/305/)	
la contadora	accountant
el copernicano	Copernican
el coquetón	lady-killer
el coreo	choree
la corruptora	corrupting
la cremería	creamery
el crispamiento	twitching
el cromatograma	chromatogram
el cubilote	cupola
el cunero	nursery
*** 3051 - 3060 (/course/195614/spanish-nouns-5/306/)	
la curabilidad	curability
la dactilógrafa	"fingerprint expert, dactylographist"
el dactilógrafo	"dactylographist, fingerprint expert"
el debelador	conqueror
el decigramo	"decigram, decigramme"
el declarador	declarer
la descocada	Flapper
la desestabilizadora	destabilizing
la desmaña	clumsiness
el desmoldeo	discharge mould
*** 3061 - 3070 (/course/195614/spanish-nouns-5/307/)	
el desparramamiento	scattering
el diamagnetismo	diamagnetism
el dicharachero	"wit, chatterbox"
la difusora	diffusing
el dinamarqués	Danish
la discinesia	dyskinesia
la distocia	dystocia
la dobladilla	Hemming
el doctrino	Doctrino
la dolicocefalia	dolichocephaly
*** 3081 - 3090 (/course/195614/spanish-nouns-5/308/)	
el encanecimiento	graying
el encrespamiento	frizz
la energúmena	possessed person
la enfriadora	chiller
la engrasadora	grease
el ensuciamiento	soiling
la equipolencia	equipollence
la escansión	scansion
el escarabajeo	Skarabäus
(el)(la) esgrimista	fencer
*** 3071 - 3080 (/course/195614/spanish-nouns-5/309/)	
la dulzona	sweetish
la ecocardiograma	echocardiogram
el electrocardiógrafo	electrocardiograph
la electromecánica	electromechanical
el eliminador	eliminator
la emasculación	emasculation
el embadurnador	Dauber
el embaidor	cheat
el emparejador	jogger
la emuladora	Emulator
*** 3101 - 3110 (/course/195614/spanish-nouns-5/310/)	
la fluorización	fluoridation
el foxterrier	fox terrier
la fraudulencia	"fraudulence, fraudulency"
la frescachona	buxom
la fresca	"cool, cheek, nerve"
el fricasé	fricassee
el fueraborda	outboard
la fúrcula	furcula
el furúnculo	"furuncle, boil"
la fusibilidad	fusibility
*** 3091 - 3100 (/course/195614/spanish-nouns-5/311/)	
la espiramicina	spiramycin
la estereotipa	stereotypes
(el)(la) estilita	stylite
la estopilla	cheesecloth
el estrujón	"squeeze, pressing"
el exmarido	ex-husband
la exmujer	ex wife
el explicador	explainer
la ficocianina	phycocyanin
la figuranta	figurante
*** 3121 - 3130 (/course/195614/spanish-nouns-5/312/)	
el hayal	beech grove
el hebillaje	buckles
el helenio	elecampane
la hemina	hemin
la hioscina	hyoscine
la hiperpirexia	hyperpyrexia
el hurgón	rake
el husmeador	sniffer
la ideóloga	ideologue
la incitativa	incentive
*** 3131 - 3140 (/course/195614/spanish-nouns-5/313/)	
la incombustibilidad	incombustibility
la incorrupción	imperishable
la incredibilidad	incredibility
la inescrutabilidad	inscrutability
la inhibitoria	inhibitory
el injuriador	injurious
la insubsistencia	insubstantiation
la interrogadora	interrogator
la intrincación	intricacy
la irrespetuosidad	disrespect
*** 3111 - 3120 (/course/195614/spanish-nouns-5/314/)	
la gabacha	"Frenchy, froggy, frog"
(el)(la) gafe	"hoodoo, jinx"
el gangueo	"twang, snuffle"
la geobiología	geobiology
(el)(la) gesticulante	gesticulating
la gincana	"gymkhana, treasure hunt"
el grifón	griffon
la guasábara	Guasábara
el guitarrillo	small guitar
la habilitada	enabled
*** 3141 - 3150 (/course/195614/spanish-nouns-5/315/)	
el jilguerillo	Jilguerillo
la joyera	jeweler
la jumera	Jumera
el kaláshnikov	Kalashnikov
el ladrador	barking
el ladronicio	thievery
el lamedor	licker
la lavada	washed
la lechaza	milt
el lechoncillo	"sucking pig, piglet"
*** 3161 - 3170 (/course/195614/spanish-nouns-5/316/)	
el maligno	"the devil, the evil one"
el manitú	manitou
el mará	Mara:
la marcasita	marcasite
el marojal	Pyrenean oak
la marsellesa	Marseillaise
el mecedor	"rocking, swinging"
la melenita	mane
la melómana	music lover
la menesterosa	needy
*** 3151 - 3160 (/course/195614/spanish-nouns-5/317/)	
el levador	levator
la lincomicina	lincomycin
el livonio	Livonian
la llanera	plains
el locativo	locative
la lotera	lottery
el macrófago	macrophage
la magnetohidrodinámica	MGD
el mágnum	magnum
el majzén	makhzen
*** 3171 - 3180 (/course/195614/spanish-nouns-5/318/)	
(el)(la) mennonita	Mennonite
la mensurabilidad	measurability
(el)(la) mercadante	Mercadante
el mercal	Mercal
la micropaleontología	micropalaeontology
el mieloblasto	myeloblast
la minestrone	minestrone
el mingote	Mingote
la modicidad	reasonableness
la mofadora	scoffing
*** 3181 - 3190 (/course/195614/spanish-nouns-5/319/)	
el mofador	"scoffer, mocker, sneerer"
el monociclo	unicycle
la monotipia	monotype
el nebulizador	nebulizer
la neomicina	neomycin
el nobelio	nobelium
el novador	vative
la nubilidad	nubility
la nupcial	nuptial
el oteador	Lookout
*** 3191 - 3200 (/course/195614/spanish-nouns-5/320/)	
el otorrino	ENT
el oviscapto	ovipositor
el panteonero	gravedigger
el parquecito	little park
la partidura	parting
la pedicura	"pedicure, pedicurist"
el pediluvio	footbath
la pegunta	Pegunta
(el)(la) pendolista	Penman
el pentasílabo	pentasyllable
*** 3201 - 3210 (/course/195614/spanish-nouns-5/321/)	
el percloruro	perchloride
(el)(la) perista	"fence, receiver of stolen goods"
(el)(la) personalista	personalistic
la pina	"pineapple, cone, pinecone"
la pinchadura	puncture
el pistache	pistachio
la plegadura	"folding, crease, plication"
el pleocroísmo	pleochroism
el polígamo	polygamist
el polisón	bustle
*** 3211 - 3220 (/course/195614/spanish-nouns-5/322/)	
el postín	"ostentation, show"
el precámbrico	Precambrian
la presuntuosidad	"presumptuousness, presumption"
el pretorianismo	"praetorianism, pretorianism"
el preventorio	preventorium
la prófuga	fugitive
la psicofísica	psychophysical
el pudrimiento	putrescence
la pulserita	wrist
la quelación	chelation
*** 3221 - 3230 (/course/195614/spanish-nouns-5/323/)	
el quersoneso	chersonese
el quinceno	Quinceno
la quiropráctica	chiropractor
la radioelectricidad	radioelectricity
la radiotoxicidad	radiotoxicity
la rayada	striped
el reconstituyente	tonic
(el)(la) recortable	cut-out
el refundidor	reviser
la remachadora	Riveter
*** 3231 - 3240 (/course/195614/spanish-nouns-5/324/)	
el repelón	Repelon
el resbalador	slider
la reserpina	reserpine
la resiembra	reseeding
la ricia	having jaundice
el rondel	"rondel, roundel"
el saucillo	Saucillo
el secretito	secret
el skay	leatherette
el somnambulismo	"somnambulism, sleepwalking"
*** 3241 - 3250 (/course/195614/spanish-nouns-5/325/)	
la suculencia	"succulence, lushness, richness"
la sudanesa	Sudanese
el sugestionador	suggestionist
la sulfadiazina	sulfadiazine
la tabica	riser
la temblona	tremulous
el tensiómetro	tensiometer
la ternilla	brisket
el tetón	lug
el tinaco	"pot, water tank"
*** 3251 - 3260 (/course/195614/spanish-nouns-5/326/)	
el tiritón	shiver
la tortillería	tortilla
la trabuca	blunderbuss
el trasportador	transporter
la trecha	narrow
el trefilado	wiredrawing
la trenca	"duffel coat, parka, duffle coat"
el turbogenerador	turbogenerator
el ultraortodoxo	ultra-Orthodox
el ululato	"hoot, ululation"
*** 3261 - 3270 (/course/195614/spanish-nouns-5/327/)	
el varado	man without a regular job
el velludillo	velveteen
el venerador	venerator
el ventano	Ventano
la viada	Viada
la vienesa	Viennese
la vinatería	liquor store
la vindicadora	Vindicator
la vitrocerámica	hob
el yodoformo	iodoform
*** 3281 - 3290 (/course/195614/spanish-nouns-5/328/)	
(el)(la) actuante	acting
las aguadillas	Aguadillas
la altercación	altercation
las analectas	"analects, analecta"
el ansiolítico	"anxiolytic, tranquiliser"
el silvicultor	arboriculturist
el argivo	Argive
los macanazos	batons
los almenares	battlements
la sitiadora	besieging
*** 3271 - 3280 (/course/195614/spanish-nouns-5/329/)	
el zangoloteo	jiggle
la zidovudina	zidovudine
la zonación	zonation
la zumaya	goatsucker
la vinagrera	vinegar bottle
el centroamericano	Central American
el adiestrador	trainer
(el)(la) cooperativista	member of a cooperative
el colegislador	co-legislator
el corrupto	a corrupt person
*** 3291 - 3300 (/course/195614/spanish-nouns-5/330/)	
las blanqueadoras	bleaching
el intermitente	"blinker, turn signal, indicator"
el nuevito	brand new
los empanados	breaded
la capellina	brimmed
los magullones	bruises
el bubón	bubo
los empavesados	buntings
los alcaparrones	capers
el carbonado	carbonaceous
*** 3301 - 3310 (/course/195614/spanish-nouns-5/331/)	
las talladuras	carvings
el entubado	cased
la castañuela	"castanet, castanets, damselfish"
los celestinos	Celestine
la centrifugadora	centrifuge
la coagulopatía	coagulopathy
los cocotales	coconut palms
(el)(la) colectivista	collectivist
(el)(la) colonialista	colonialist
el cooperador	cooperator
*** 3311 - 3320 (/course/195614/spanish-nouns-5/332/)	
el cordelero	cordelier
el cosario	corsair
el cuchillero	cutler
los cirenaicos	Cyrenaics
el datáfono	dataphone
la ilusa	deluded
el temblante	"dither, trembler"
los quiciales	doorposts
el burlete	draught excluder
el eritreo	Eritrean
*** 3331 - 3340 (/course/195614/spanish-nouns-5/333/)	
las fumariáceas	Fumariaceous
la pindonga	"gadabout, trollop"
la galerada	"galley, pull"
(el)(la) germanista	Germanist
el germinal	germinal
las regaladas	given away
el espigador	gleaner
la gafa	"grapple, grapnel, grappling hook"
el cigarrón	grasshopper
la desolladura	graze
*** 3361 - 3370 (/course/195614/spanish-nouns-5/334/)	
la postrimería	latter end
(los)(las) linotipistas	linotypists
la piernecita	little leg
los taladores	loggers
la guapa	lovely
la grajea	lozenge
las lúes	lues
el lugre	lugger
el malaquías	malachi
la colectora	manifold
*** 3321 - 3330 (/course/195614/spanish-nouns-5/335/)	
los euterios	eutherian
los malpensados	evil-minded
el exterminador	exterminator
(los)(las) extorsionistas	extortionists
el criticón	faultfinder
el menudillo	fetlock
la mentirijilla	fib
las mentirillas	fibs
la financiera	finance company
el currutaco	"foppish, swanky, nob"
*** 3341 - 3350 (/course/195614/spanish-nouns-5/336/)	
las rectificadoras	grinding
la griseta	grisette
la varada	grounding
el talonazo	heel kick
el hegeliano	Hegelian
los hirudíneos	hirudinea
los hitlerianos	Hitler
el hotentote	Hottentot
(el)(la) higienista	hygienist
las impuridades	impurities
*** 3371 - 3380 (/course/195614/spanish-nouns-5/337/)	
el jaspeado	marbling
los marsos	Marsi
la mastoides	mastoid
el metatarsiano	metatarsal
el microcircuito	microcircuit
el microfilme	microfilm
las treintañeras	milf
los mimbrales	Mimbrales
los ministradores	ministering
el modernizador	modernizing
*** 3381 - 3390 (/course/195614/spanish-nouns-5/338/)	
el mogol	Mogul
el molar	molar
(el)(la) monofisita	Monophysite
los monopolizadores	monopolists
la morilla	Morel
(los)(las) muslimes	Muslims
el servilletero	"napkin ring, serviette ring, serviette holder"
la pinocha	needles
los ponederos	nests
la entalladura	notch
*** 3351 - 3360 (/course/195614/spanish-nouns-5/339/)	
(los)(las) jaliscienses	Jalisco
la japonesita	Japanese girl
la jumenta	jennet
los jerosolimitanos	Jerusalemites
los josefinos	Josephites
el quilómetro	kilometer
el kilopondio	kilopond
el jaez	"kind, sort, harness"
el lagomorfo	lagomorph
la lanzuela	Lanzuela
*** 3391 - 3400 (/course/195614/spanish-nouns-5/340/)	
(el)(la) nudista	nudist
el anglosajón	"Old English, Anglo-Saxon"
los olivicultores	olive growers
(los)(las) omaguas	Omaguas
el tuerto	one-eyed person
los ostracodermos	ostracoderms
el chanclo	"overshoe, clog, galosh"
la enjalma	packsaddle
los cuévanos	panniers
la paratiroides	parathyroids
*** 3401 - 3410 (/course/195614/spanish-nouns-5/341/)	
el parhelio	parhelion
el parisién	Parisian
(el)(la) modelista	patternmaker
la pelucona	pelucon
los peones	"peon, pawn, laborer"
el politicastro	"petty politician, politician, politicaster"
los pintauñas	pinto
el pisano	Pisan
los placodermos	placoderms
las plantagináceas	Plantaginaceae
*** 3411 - 3420 (/course/195614/spanish-nouns-5/342/)	
los afelpados	plush
las podocarpáceas	Podocarpaceae
las poligonáceas	polygonaceae
los pontificales	pontifical
el prosimio	prosimian
los cateadores	prospectors
las proteáceas	Proteas
los pacatos	prudish
los psitácidos	psittacidae
los psitaciformes	psittaciformes
*** 3431 - 3440 (/course/195614/spanish-nouns-5/343/)	
el recauchutado	retread
el retrocohete	retrorocket
(el)(la) revisionista	revisionist
el rizoide	rhizoid
los remachados	riveted
la ruda	rue
(los)(las) sagitarios	Sagittarians
los sansimonianos	Saint-Simonian
los samoyedos	Samoyeds
las sanies	sanies
*** 3421 - 3430 (/course/195614/spanish-nouns-5/344/)	
los motones	pulley blocks
los cuadrumanos	quadrumana
el andurrial	"quagmire, detour, godforsaken place"
los quirites	Quirites
la ranciedad	"rancidity, rankness, rancidness"
el crótalo	"rattlesnake, pit viper"
los reales	real
(los)(las) redentoristas	Redemptorist
(el)(la) relativista	relativist
los mitigadores	relievers
*** 3441 - 3450 (/course/195614/spanish-nouns-5/345/)	
la escaldadura	scald
el bohordo	scape
el cismático	schismatic
los fondillos	seat
la exclaustrada	secularised
la semiconsonante	semiconsonant
las servillas	Servillas
la argentada	silvery
la solar	"site, plot, ancestral home"
los escaramuzadores	skirmishers
*** 3461 - 3470 (/course/195614/spanish-nouns-5/346/)	
las cabareteras	strippers
la sulfamida	sulfamide
el táctico	tactician
el abstemio	"teetotaler, total abstainer"
el borne	terminal
el terpeno	terpene
el tánatos	thanatos
la termia	therm
el palillero	Toothpick
(los)(las) cursillistas	trainees
*** 3451 - 3460 (/course/195614/spanish-nouns-5/347/)	
la ahumada	smokesignal
el mojado	"soaking, drenching"
(los)(las) sociolingüistas	sociolinguists
los portalámparas	Socket
el blandengue	softie
las alcayatas	spikes
los manchurrones	splotches
la espondilosis	spondylosis
las fumigadoras	sprayers
el portaobjeto	stage
*** 3471 - 3480 (/course/195614/spanish-nouns-5/348/)	
los triplicados	triplicate
(los)(las) tiranicidas	tyrannicides
el pajero	wanker
la timonera	wheelhouse
el susurrador	whisperer
la furcia	"whore, tart, hooker"
los cercopitécidos	World monkeys
la zoospora	zoospore
la algodonera	cotton grower
la amoladora	grinder
*** 3481 - 3490 (/course/195614/spanish-nouns-5/349/)	
el beneficiador	benefactor
la birmana	Burmese
la bogotana	Bogota
la cerdita	"piggy, piglet"
el forúnculo	"furuncle, boil, carbuncle"
la comprometedora	compromising
la conciudadana	fellow citizen
la compañerita	classmate
la congoleña	Congolese
el cok	coke
*** 3491 - 3500 (/course/195614/spanish-nouns-5/350/)	
la cosaca	Cossack
la empleadora	employer
la esquizofrénica	"schizophrenic, schizo"
la franciscana	Franciscan
la gansa	"goose, gander"
la hipnotizadora	"hypnotist, mesmerist"
