*** 1 - 25 (/course/66563/koine-greek-3/1/)	
ὁ 	"the, who, which"
ἐκκολυμβάω	to swim out
ἐκκομίζω	to carry out
ἐκκρεμάννυμι	"to hang upon, depend on"
ἐκλαλέω	to tell
ἐκλάμπω	to shine forth
ἐκλανθάνομαι	"to utterly escape notice, to forget completely"
ἐκνεύω	"to turn, leave without being noticed"
ἐκνήφω	"to sober up, come to the senses"
ἑκούσιος	"willing, voluntary"
ἐκπερισσῶς	emphatically
ἐκπετάννυμι	to stretch out
ἐκπηδάω	"to rush out, escape"
ἐκπληρόω	"to fulfill, carry out"
ἡ ἐκπλήρωσις	"filling up, accomplishment"
ἐκπορνεύω	"to commit sexual sin, live immorally"
*** 4126 - 4150 (/course/66563/koine-greek-3/166/)	
ἐκπτύω	to reject
ἐκστρέφω	"to pervert, corrupt"
ἐκταράσσω	"to throw into confusion, stir up trouble"
ἡ ἐκτένεια	"zeal, earnestness"
ἐκτενής	"constant, earnest, strained"
τὸ ἔκτρωμα	abnormal birth
ἐκφοβέω	to terrify
ἐκχωρέω	to depart
ὁ ἐλαιών	olive grove
ὁ Ἐλαμίτης	Elamite
ἐλάσσων	"worse, less"
ἐλαττονέω	"to receive less, be in need"
ἡ ἐλαφρία	vacillation
ὁ ἐλεγμός	refuting of error
ἡ ἔλεγξις	"rebuke, rebuking"
ὁ ἔλεγχος	"reproof, conviction"
ὁ ἔλεος	mercy
ἡ ἔλευσις	coming
ἐλεφάντινος	ivory
ὁ Ἐλιέζερ	Eliezer
ὁ Ἐλισαῖος	Elisha
ἑλκόω	to cover with sores
ἡ Ἑλλάς	Greece; Greek
Ἑλληνικός	Greek
ὁ Ἐλμαδάμ	Elmadam
*** 4151 - 4175 (/course/66563/koine-greek-3/167/)	
ὁ Ἐλύμας	Elymas
ἐμβάλλω	"to throw in, lay in, set"
ἐμβατεύω	"to step in, enter into; to claim special powers (?)"
ἐμβιβάζω	to set on; to put aboard
ἐμέω	"to spit out, vomit"
ἐμμαίνομαι	to be enraged
ὁ Ἐμμανουήλ	Emmanuel
ἡ Ἐμμαοῦς	Emmaus
ὁ Ἑμμώρ	Hamor
ἡ ἐμπαιγμονή	mocking
ὁ ἐμπαιγμός	mocking
ἐμπεριπατέω	"to walk around in, wait among; live among"
ἐμπίμπρημι	to set on fire
ἡ ἐμπλοκή	elaborately braided hair
ἐμπνέω	"to breathe, breathe out, to be alive"
ἡ ἐμπορία	business
τὸ ἐμπόριον	market
ἐμφυσάω	"to breath in, upon"
ἔμφυτος	implanted
τὸ ἐνάλιος	of the sea; sea creature
ἐνδεής	lack
τὸ ἔνδειγμα	"evidence, proof"
ἐνδέχομαι	"it is possible, imaginable"
ἐνδύνω	to creep
ἡ ἔνδυσις	"wearing, putting on"
*** 4176 - 4200 (/course/66563/koine-greek-3/168/)	
ἡ ἐνδώμησις	foundation
ἐνειλέω	to wrap in
ἐνεός	speechless
ἐννεύω	to give signaling motions
ἔννυχος	in the night
ἐνορκίζω	to put under an oath
ἐντόπιος	local
ἐντρέφω	"to live on, feed on"
ἐντρυφάω	"to revel, carouse"
ἐντυπόω	to engrave
ἐνυβρίζω	"to insult, mock"
τὸ ἐνύπνιον	dream
ὁ Ἐνώς	Enosh
ἐνωτίζομαι	to pay close attention to
ἐξαίρω	"to lift up, remove, carry away"
ἐξαιτέω	to desire
ἐξάλλομαι	"to leap, leap out, leap up"
ἡ ἐξανάστασις	"getting or springing up, resurrection"
ἐξάπινα	suddenly
ἐξαστράπτω	to flash like lightning
ἐξέλκω	"to lure away, draw away"
τὸ ἐξέραμα	vomit
ἐξεραυνάω	"to search out, search diligently"
ἐξηχέω	to sound out
ἡ ἕξις	"habit, use, practice"
*** 4201 - 4225 (/course/66563/koine-greek-3/169/)	
ἐξισχύω	to be able
ἐξολεθρεύω	to destroy completely
ἐξορκίζω	"to swear, put under a curse"
ὁ ἐξορκιστής	exorcist
ἐξουδενέω	"to treat with contempt;  scorn, despise"
ἡ ἐξοχή	prominence
ἐξυπνίζω	"to wake up, awaken"
ἔξυπνος	awake
ἑορτάζω	to celebrate a festival
ἐπαγωνίζομαι	to struggle for
ἐπαθροίζω	"to increase, crowd around"
ὁ Ἐπαίνετος	Epaenetus
ἐπακούω	"to hear, heed"
ἐπακροάομαι	to listen to
ἐπάναγκες	necessarily
ἐπαναμιμνῄσκω	to remind
ἡ ἐπανόρθωσις	"correction, reparation, restoration"
ἐπάρατος	under a divine curse
ἡ ἔπαυλις	"house, home"
ἐπαφρίζω	to foam up
ἐπειδήπερ	"inasmuch as, since"
ἡ ἐπεισαγωγή	bringing in
ἐπεισέρχομαι	"to rush upon, come upon"
ἐπέκεινα	beyond
ἐπεκτείνομαι	to stretch toward
*** 4226 - 4250 (/course/66563/koine-greek-3/170/)	
ὁ ἐπενδύτης	outer garment
τὸ ἐπερώτημα	"decision, answer, appeal"
ἐπιγαμβρεύω	to marry
ἐπιγίνομαι	"to be born after, spring up, come after"
ἐπιδιατάσσομαι	to add to
ἐπιδιορθόω	to set in order
ἐπιδύω	"to set, go down"
ἐπιθανάτιος	sentenced to death
ὁ ἐπιθυμητής	one who desires
ἐπικαθίζω	"to set upon, to sit upon"
τὸ ἐπικάλυμμα	"covering, pretext"
ἐπικαλύπτω	to cover
ἐπικέλλω	to run aground
ὁ Ἐπικούρειος	Epicurean
ἡ ἐπικουρία	"help, supplication"
ἐπικρίνω	"to pass sentence, inflict"
ἐπιλείπω	to fail
ἐπιλείχω	to lick
ἡ ἐπιλησμονή	forgetfulness
ἐπίλοιπος	remaining
ἡ ἐπίλυσις	interpretation
ἐπιμαρτυρέω	"to testify, bear witness"
ἡ ἐπιμέλεια	"care, attention"
ἐπιμελῶς	"carefully, thoroughly"
ἐπινεύω	to consent
*** 4251 - 4275 (/course/66563/koine-greek-3/171/)	
ἡ ἐπίνοια	"intent, purpose; invention"
ἐπιορκέω	"to swear falsely, break an oath"
ἐπίορκος	"false swearing, a perjurer"
ἐπιπλήσσω	to strike at; rebuke
ἐπιπόθητος	longed for
ἡ ἐπιποθία	great desire
ἐπιπορεύομαι	"to come, come upon, travel"
ἐπιράπτω	to sew
ὁ ἐπισιτισμός	"food, provisions"
ἐπισκευάζομαι	to make ready
ἐπισκηνόω	to rest
ἐπισπάω	"to draw in, bring upon; remove marks of circumcision"
ἐπισπείρω	to sow more
ἐπιστήμων	understanding
ἐπιστομίζω	to silence
ἡ ἐπιστροφή	"return, turning, conversion"
ἐπισυντρέχω	to gather rapidly
ἐπισφαλής	dangerous
ἐπισχύω	"to grow strong; insist, be urgent"
ἐπισωρεύω	to collect
ἐπιτήδειος	"useful, necessary"
ἡ ἐπιτιμία	punishment
ἡ ἐπιτροπή	"decision, commission"
ἐπιφανής	"notable, manifest"
ἐπιφαύσκω	to give light
*** 4276 - 4300 (/course/66563/koine-greek-3/172/)	
ἐπιχέω	"to pour in, over, out"
ἐπονομάζω	"to name, call"
ὁ ἐπόπτης	"overseer, watcher, eyewitness"
τὸ ἔπος	word; verse
ἑπτακισχίλιοι	seven thousand
ἐρείδω	"to stick fast, support, fix firmly"
ἐρεύγομαι	"to declare, tell"
ἐρίζω	"to strive, challenge"
τὸ ἐρίφιον	goat-kid
ὁ Ἑρμᾶς	Hermas
ὁ Ἑρμογένης	Hermogenes
ὁ Ἑσλί	Esli
ἑσσόομαι	to be treated worse
ἐσχάτως	finally; be dying
ἔσω	(+gen) inside (prep.); within (adv.)
ἑτερόγλωσσος	of a foreign tongue
ἑτεροζυγέω	to be mismated
ἑτέρως	otherwise
ἡ ἑτοιμασία	"readiness, equipment, preparation"
εὐαρέστως	acceptably
ὁ Εὔβουλος	Eubulus
εὖγε	well done!
ἡ εὐδία	fair weather
εὐεργετέω	"to do good, serve as benefactor"
ὁ εὐεργέτης	benefactor
*** 4301 - 4325 (/course/66563/koine-greek-3/173/)	
εὔθυμος	"encouraged, cheerful"
εὐθύμως	cheerfully
ἡ εὐθύτης	"uprightness, justice"
εὐλαβέομαι	"to act reverently, be cautious"
εὐμετάδοτος	"liberal, generous"
ἡ Εὐνίκη	Eunice
εὐνοέω	"to agree, be favorable"
ἡ εὔνοια	"benevolence, good will"
ἡ Εὐοδία	Euodia
εὐπάρεδρος	"devoted, dedicated"
εὐπειθής	open to reason
εὐπερίστατος	easily distracting
ἡ εὐποιΐα	well-doing
εὐπορέω	"to prosper, have financial ability"
ἡ εὐπορία	wealth
ἡ εὐπρέπεια	"beauty, dignity"
εὐπροςωπέω	to make a good showing
ὁ εὐρακύλων	northeast wind
εὐρύχωρος	"wide, broad"
εὔσημος	"easy to understand, conspicuous"
ἡ εὐσχημοςύνη	"modesty, gracefulness"
ἡ εὐτραπελία	vulgar talk
ὁ Εὔτυχος	Eutychus
ἡ εὐφημία	good reputation; auspiciousness; worship
εὔφημος	worthy of praise
*** 4326 - 4350 (/course/66563/koine-greek-3/174/)	
εὐφορέω	to produce good crops
εὐχάριστος	"thankful, kind hearted, agreeable"
εὐψυχέω	to be encouraged
ἐφάλλομαι	to come upon; to leap
ὁ ἐφευρετής	inventor
ἡ ἐφήμερος	daily
ὁ Ἐφραίμ	Ephraim
ἐφφαθά	ephphatha (Aram.  be opened)
ὁ Ζάρα	Zerah
ἡ ζευκτηρία	rope
ζηλεύω	to be zealous; to be jealous
ὁ Ζηνᾶς	Zenas
ἡ ἡγεμονία	"military company, authority, rule"
τὸ ἦθος	"character, habit, morals"
ὁ Ἠλί	"Eli, Heli (proper n.)"
ἡμιθανής	half dead
τὸ ἡμιώριον	half-hour
ἤπερ	than at all; than even
ἤπιος	gentle
ὁ Ἤρ	Er
ἤρεμος	quiet
ὁ Ἡρῳδίων	Herodian
ἥσσων	"less, worse"
ἥσσων	"less, worse"
ἤτοι	"or, either/or"
*** 4351 - 4375 (/course/66563/koine-greek-3/175/)	
ἠχέω	"to sound, resound, ring, be noisy"
τὸ ἦχος	"sound, noise; roar"
θά	(Aram.) come!
ἡ Θαμάρ	Tamar
τὸ θανάσιμος	deadly poison
θανατηφόρος	"deadly, fatal"
ὁ Θάρα	Terah
τὸ θάρσος	courage
τὸ θαυμάσιος	wonderful; amazing
ἡ θεά	goddess
θεατρίζω	to make a show of; be open to public shame
ἡ θειότης	"deity, divinity"
θειώδης	"sulphurous, yellowish"
ἡ θέλησις	"will, desire; prayer"
τὸ θεμέλιον	foundation
θεοδίδακτος	"god-taught, taught by God"
θεομάχος	opposing God
θεόπνευστος	God-breathed
ἡ θεός	"god, God"
ἡ θεοςέβεια	"godliness, fear of God; religion"
θεοςεβής	God-fearing
θεοςτυγής	"god-detested, god forsaken; hating God"
ἡ θεότης	deity
ὁ θεράπων	"servant, healer"
ἡ θέρμη	heat
*** 4376 - 4400 (/course/66563/koine-greek-3/176/)	
ὁ Θευδᾶς	Theudas
ἡ θεωρία	"sight, spectacle"
ἡ θήκη	"chest, case, sheath"
ἡ θήρα	"hunting; prey, booty; snare, trap"
θηρεύω	"to hunt, catch"
θηριομαχέω	to fight wild animals
θορυβάζω	"to trouble, bother"
θραύω	"to break, hit, break down, oppress"
τὸ θρέμμα	creature
θρῆσκος	religious
ὁ θρόμβος	drop
ἡ θύελλα	"windstorm, hurricane"
θύϊνος	"citron tree, citron wood"
τὸ θυμιατήριον	altar of incense; censer
θυμιάω	to burn incense
θυμομαχέω	to be very angry
θυμόω	to be angry
ὁ θυρεός	shield
ὁ Ἰαμβρῆς	Jambres
ὁ Ἰανναί	Jannai
ὁ Ἰάννης	Jannes
ὁ Ἰάρετ	Jared
ἴδε	look! pay attention!
ἡ Ἰδουμαία	"Idumea, Edom"
ὁ ἱδρώς	sweat
*** 4401 - 4425 (/course/66563/koine-greek-3/177/)	
ἡ Ἰεζάβελ	Jezebel
ἡ Ἱεράπολις	Hierapolis
ἱερατεύω	to serve as priest
ἱερόθυτος	offered in sacrifice
ἱεροπρεπής	reverent
ἡ Ἱεροςόλυμα	Jerusalem
ἱεροςυλέω	"to commit sacrilege, rob a temple"
ὁ ἱερόσυλος	"sacrilegious person, temple-robber"
ἱερουργέω	to serve as priest
ὁ Ἰεφθάε	Jephthah
ἡ ἱκανότης	"capability, sufficiency"
ἡ ἱκετηρία	request
ἡ ἰκμάς	moisture
ἱλαρός	cheerful
ἡ ἱλαρότης	cheerfulness
τὸ Ἰλλυρικόν	Illyricum
ἰουδαΐζω	to live like a Jew; side with a Jew
Ἰουδαϊκός	Jewish
Ἰουδαϊκῶς	like a Jew
ἡ Ἰουλία	Julia
ἡ Ἰουνιᾶς	Junias
τὸ ἱππικός	"cavalry, horsemen; Equestrian"
ἰσάγγελος	like or equal to an angel
ἴσος	equal
ἰσότιμος	equally precious
*** 4426 - 4450 (/course/66563/koine-greek-3/178/)	
ἰσόψυχος	"like-minded, equal, peer"
ὁ Ἰσσαχάρ	Issachar
ἱστορέω	to get to know; to record
ἴσως	"perhaps, probably; equally"
Ἰταλικός	Italian
Ἰτουραῖος	Iturea
ὁ Ἰωανάν	"Joanan, Jehohanan, Joanna"
ὁ Ἰώβ	Job
ὁ Ἰωδά	Joda
ὁ Ἰωήλ	Joel
ὁ Ἰωνάμ	Jonam
ὁ Ἰωρίμ	Jorim
ὁ Ἰωσήχ	Josech
τὸ ἰῶτα	"iota, smallest letter"
καθά	"as, just as"
καθαίρω	"to clean, prune"
καθάπτω	to fasten on
ἡ καθαρότης	purification
καθημερινός	daily
καθόλου	"completely, entirely, at all"
καθοπλίζω	to arm fully
καθοράω	"to look down upon, observe, clearly see"
καθώσπερ	"as, just as"
καίτοιγε	although
ἡ κακοήθεια	meanness
*** 4451 - 4475 (/course/66563/koine-greek-3/179/)	
ἡ κακοπάθεια	"endurance, painful labor, misery"
ἡ κάκωσις	"suffering, affliction"
ἡ καλάμη	straw
ἡ καλλιέλαιος	cultivated olive tree
καλοδιδάσκαλος	"teaching the good, teacher of good"
καλοποιέω	to do what is good
Καλός	"Fair, Beautiful"
ἡ Κανδάκη	Candace
καπηλεύω	to sell for profit
ὁ Κάρπος	Carpus; Carpathian
καρποφόρος	fruitful
καρτερέω	"to endure, be patient, wait"
καταβαρέω	to burden
καταβαρύνω	"to be very heavy, weigh down on"
ἡ κατάβασις	"descent, falling down"
καταβραβεύω	to cheat
ὁ καταγγελεύς	proclaimer
καταγράφω	"to write down, engrave"
καταγωνίζομαι	"to defeat, subdue"
καταδέω	to bind up
κατάδηλος	evident
ἡ καταδίκη	"sentence, condemnation"
καταδιώκω	"to follow after, pursue"
τὸ κατάθεμα	divinely cursed thing
καταθεματίζω	"to curse, to put oneself under a curse"
*** 4476 - 4500 (/course/66563/koine-greek-3/180/)	
κατακληρονομέω	to divide by lot
κατακλύζω	to overflow
κατακόπτω	"to cut, cut down, cut in pieces"
κατακρημνίζω	to throw down a cliff
κατακύπτω	"to bend down, look down"
ὁ κατάλαλος	slanderer
καταλέγω	"to recount; include; accuse; lay down, lie down"
καταλιθάζω	to stone
κατάλοιπος	"rest, remaining, remnant"
καταμανθάνω	"to consider, examine; ogle"
καταμένω	"to stay, live"
καταναλίσκω	"to use up, spend, lavish"
κατανεύω	to signal to
ἡ κατάνυξις	"astonishment, insensitivity, stupor"
κατανύσσομαι	to stab; to slumber
καταπλέω	to arrive
καταριθμέω	"to enumerate, number, count"
ἡ κατάρτισις	maturation
ὁ καταρτισμός	"training, equipping"
κατασκιάζω	to shadow
κατασκοπέω	to spy out
ὁ κατάσκοπος	spy
κατασοφίζομαι	"to outwit, trick"
τὸ κατάστημα	"behavior, condition"
ἡ καταστολή	"dress, clothing"
*** 4501 - 4525 (/course/66563/koine-greek-3/181/)	
καταστρηνιάω	to be drawn away by impulse
καταστρώννυμι	"to set a table, scatter, overthrow"
κατασύρω	to drag
κατασφάζω	to slay
κατασφραγίζω	to seal
ἡ κατατομή	mutilation
κατατρέχω	to run down; pursue
καταφθείρω	to corrupt
ὁ καταφρονητής	despiser
καταχθόνιος	under the earth
καταψύχω	"to cool, cool off"
κατείδωλος	full of idols
κατευλογέω	to bless
κατεφίσταμαι	to attack
ὁ κατήγωρ	accuser
ἡ κατήφεια	gloom
κατιόω	"to rust, make rusty"
ἡ κατοίκησις	"dwelling, abode"
ἡ κατοικία	dwelling
κατοικίζω	"to settle, establish, place, put"
κατοπτρίζω	"to look, reflect"
κατώτερος	lower
κατωτέρω	"lower, below"
ἡ Καῦδα	Cauda
ἡ καῦσις	burning
*** 4526 - 4550 (/course/66563/koine-greek-3/182/)	
καυστηριάζω	"to brand, sear with a hot iron"
ὁ Κεδρών	Kidron; Kitron
ἡ κειρία	bedsheet; sheet of cloth (for burial)
τὸ κέλευσμα	"command, shout"
ἡ κενοδοξία	conceit
κενόδοξος	conceited
κενῶς	in vain
κεραμικός	made of clay
ὁ κέραμος	potter’s clay; tile; jar
τὸ κεράτιον	pod
τὸ κέρμα	"money, coin, small ware"
ὁ κερματιστής	money changer
κεφαλιόω	to beat over the head
ἡ κεφαλίς	"roll, volume; extremity"
κημόω	to muzzle
ὁ κηπουρός	gardener
τὸ κῆτος	"sea monster, large sea creature"
τὸ κιννάμωμον	cinnamon
ὁ Κίς	Kish
κίχρημι	to lend
ἡ Κλαυδία	Claudia
τὸ κλέμμα	"theft, stolen object"
ὁ Κλεοπᾶς	Cleopas
τὸ κλέος	report; fame
ὁ Κλήμης	Clement
*** 4551 - 4575 (/course/66563/koine-greek-3/183/)	
κληρόω	"to receive by lot, choose"
τὸ κλινάριον	"cot, small bed"
ἡ κλισία	group
κλυδωνίζομαι	"to be sea-tossed, thrown into confusion"
ὁ Κλωπᾶς	Clopas
κνήθω	"to scratch, tickle; to itch"
ἡ Κνίδος	Cnidus
ἡ κοίμησις	sleep
κοινωνικός	generous
ὁ κοιτών	bedroom
ἡ κολακεία	flattery
τὸ κολλούριον	eyesalve
ἡ Κολοςσαί	Colossae
κολυμβάω	to swim
ἡ κολωνία	colony
ἡ κόμη	hair
κομψότερον	"better, recovering"
ὁ κοπετός	mourning
ἡ κοπή	slaughter
ἡ κοπρία	"dung heap, garbage pile"
τὸ κόπριον	"dirt, filth, manure, dung"
ὁ κόραξ	raven; hook
κορβᾶν	corban (Aram. gift)
ὁ κορβανᾶς	temple treasury
ὁ Κόρε	Korah
*** 4576 - 4600 (/course/66563/koine-greek-3/184/)	
ὁ Κορίνθιος	Corinthian
Κορίνθιος	Corinthian
ὁ κόρος	"prosperity; boy, lad; (Heb.) cor, measure"
ὁ κοςμοκράτωρ	world ruler
ὁ Κούαρτος	Quartus
κοῦμ	koum (Aram.  arise!)
κουφίζω	to lighten
ἡ κραιπάλη	drunken excess; drunken headache
τὸ Κρανίον	skull
κραταιός	"mighty, strong"
κρείττων	better
ὁ Κρήσκης	Crescens
ἡ κριθή	barley
κριτικός	discerner
ἡ κρύπτη	"hidden place, cellar"
κρυσταλλίζω	to be clear as crystal
κρυφῇ	secretly
ὁ κτήτωρ	"possessor, creator"
ὁ κτίστης	"creator, founder"
ἡ κυβεία	trickery
ἡ κυβέρνησις	ability to lead. leadership; administration
κυκλεύω	to surround
κυκλόθεν	"from all around; (+gen) about, all around"
ὁ κυλισμός	"wallowing, rolling"
κυλίω	"to roll, wallow, throw down"
*** 4601 - 4625 (/course/66563/koine-greek-3/185/)	
τὸ κύμβαλον	cymbal
τὸ κύμινον	(Heb.) cummin
ἡ Κυρήνη	Cyrene
ὁ Κυρήνιος	Quirinius
τὸ κῶλον	limb; corpse
ἡ κωμόπολις	town
ὁ κώνωψ	gnat
ἡ Κῶς	Cos
ὁ Κωσάμ	Cosam
λακάω	"to burst apart, burst open"
λακτίζω	to kick
ὁ Λάμεχ	Lamech
ἡ λαμπρότης	brightness
λαμπρῶς	"splendidly, vigorously"
λαξευτός	cut out in rock
ὁ Λαοδικεύς	Laodicean
ὁ λάρυγξ	throat
ἡ Λασαία	Lasea
ὁ λεγιών	legion
τὸ λεῖμμα	remnant
λεῖος	smooth
λειτουργικός	ministering
ἡ λεπίς	"flake, scale"
Λευιτικός	Levitical
ἡ λήθη	forgetfulness
*** 4626 - 4650 (/course/66563/koine-greek-3/186/)	
ἡ λῆμψις	receiving
ὁ λῆρος	"empty talk, nonsense"
ὁ Λιβερτῖνος	Freedman
ἡ Λιβύη	Libya
τὸ Λιθόστρωτος	pavement
ὁ Λιμήν	Harbor
ὁ Λίνος	Linus
λιπαρός	luxurious
ὁ λίψ	south; west; southwest wind
λόγιος	eloquent
λογομαχέω	to fight about words
ἡ λογομαχία	dispute about words
ἡ λόγχη	spear
ἡ Λυκαονία	Lycaonia
Λυκαονιστί	in the Lycaonian language
ἡ Λυκία	Lycia
λυμαίνω	"to mistreat, harass, ruin"
ὁ Λυσανίας	Lysanias
ἡ λύσις	"loosing, setting free; divorce; interpretation"
λυσιτελέω	to be better; to profit from
ὁ λυτρωτής	"redeemer, ransomer"
ἡ Λωΐς	Lois
ὁ Μάαθ	Mahath; Maath
ἡ Μαγαδάν	Magadan
ἡ μαγεία	"magic, magical art, sorcery"
*** 4651 - 4675 (/course/66563/koine-greek-3/187/)	
μαγεύω	to practice magic
ὁ Μαγώγ	Magog
ὁ Μαδιάμ	Midian; Madiam
ἡ μαθήτρια	"disciple, student (f)"
ὁ Μαθουσαλά	Methuselah
τὸ μάκελλον	meat market
μακροθύμως	patiently
μακροχρόνιος	long-lived
ὁ Μαλελεήλ	Maleleel
ὁ Μάλχος	Malchus
ἡ μάμμη	grandmother
ὁ Μαναήν	Manaen
ἡ μανία	insanity
μαντεύομαι	to divine; to prophesy; to tell fortunes
μαραίνω	to wither away; waste
μαράνα	marana (Aram. Our Lord!)
ὁ μάρμαρος	marble
μασάομαι	"to gnaw, chew"
μαστίζω	"to whip, scourge"
ἡ ματαιολογία	empty talk
ὁ ματαιολόγος	empty talker; empty talking
ματαιόω	to be given to futility
ὁ Ματταθά	Mattatha
μεγαλεῖος	"mighty, magnificent; mighty act"
μεγαλοπρεπής	"majestic, noble"
*** 4676 - 4700 (/course/66563/koine-greek-3/188/)	
μεγάλως	greatly
μέγας	"great, large, old"
τὸ μέγεθος	greatness
ὁ Μελεά	Melea
ἡ Μελίτη	Malta
ἡ μεμβράνα	parchment
μεμψίμοιρος	complaining
ὁ Μεννά	Menna
μενοῦν	on the contrary
ὁ μεριστής	divider
μεσιτεύω	to confirm
μέσος	middle; (prep +gen) in the middle; (adv) among
τὸ μεσότοιχον	dividing wall
μεσόω	to be in the middle
μεστόω	to fill
μεταβάλλω	"to turn, change one’s mind"
μετακινέω	"to move away, shift"
ἡ μετάλημψις	receiving
μετατρέπω	"to turn, change"
μετέπειτα	afterwards
μετεωρίζομαι	to worry
ἡ μετοχή	"partnership, participation"
ὁ μετρητής	measure (liquid); decanter
μετριοπαθέω	to have compassion on
μετρίως	"measurably, moderately"
*** 4701 - 4725 (/course/66563/koine-greek-3/189/)	
μέχρι	(+gen) up to (prep.); until (conj.)
μηδέποτε	never
μηδέπω	not yet
ὁ Μῆδος	Mede
μηκύνω	to grow; to linger
ἡ μηλωτή	sheep skin; goatskin
μήν	"indeed, surely"
ὁ μηρός	thigh
ὁ μητρολῴας	mother-murderer
τὸ μίασμα	"pollution, defilement"
ὁ μιασμός	"defilement, uncleanness"
τὸ μίγμα	mixture
τὸ μίλιον	mile (Roman)
ὁ μισθαποδότης	rewarder
τὸ μίσθωμα	rented quarters; price for hire
ἡ Μιτυλήνη	Mitylene
ὁ Μνάσων	Mnason
ἡ μνήμη	"remembrance, memory"
μογιλάλος	"mute, with speech impediment"
μόγις	"hardly, scarcely"
ὁ Μόλοχ	Molech
ὁ μολυσμός	defilement
ἡ μομφή	complaint
μονόω	to be left alone
μορφόω	to form
*** 4726 - 4750 (/course/66563/koine-greek-3/190/)	
μοςχοποιέω	to make a calf
μουσικός	music; musical; musician; musical art
ὁ μυελός	"marrow; brain, inmost part"
μυέω	to initiate; learn the secret of
μυκάομαι	to roar
μυκτηρίζω	"to mock, sneer"
μυλικός	of a mill
μύλινος	millstone
τὸ Μύρα	Myra
μυρίζω	to pour ointment on
μύριοι	ten thousand
μυωπάζω	to be nearsighted
ὁ μώλωψ	wound
ὁ μῶμος	blemish
ἡ μωρολογία	foolish talk
ὁ Ναγγαί	Naggai
ὁ Ναθάμ	Nathan
ὁ Ναιμάν	Naaman
ἡ Ναΐν	Nain
ὁ Ναούμ	Nahum; Nehum
ὁ Νάρκισσος	Narcissus
ὁ ναύκληρος	ship-owner; ship-master
ἡ ναῦς	ship
ὁ Ναχώρ	Nahor
ἡ νεομηνία	new moon; new moon festival
*** 4751 - 4775 (/course/66563/koine-greek-3/191/)	
νεόφυτος	newly converted
τὸ νέφος	"cloud, cloud mass"
ὁ νεφρός	"kidney, heart, mind"
ὁ νεωκόρος	temple keeper
νεωτερικός	"innovative, recently invented; youthful"
νή	by
νηπιάζω	to be a child
ὁ νήπιος	child
ὁ Νηρεύς	Nereus
ὁ Νηρί	Neri
τὸ νησίον	island
ὁ Νίγερ	Niger
ὁ Νικάνωρ	Nicanor
ἡ νίκη	victory
ὁ Νικόλαος	Nicolas
ἡ Νικόπολις	Nicopolis
ὁ νιπτήρ	washbasin
νόθος	"illegitimate, spurious, counterfeit; illegitimate child"
τὸ νόμισμα	"money, coin"
ἡ νομοθεσία	giving of the law
ὁ νομοθέτης	lawgiver
νοςέω	to be sick; to have unhealthy desire
ἡ νοςσιά	"nest, brood"
τὸ νοςσίον	young bird
ὁ νοςσός	"young, offspring"
*** 4776 - 4800 (/course/66563/koine-greek-3/192/)	
νουνεχῶς	"wisely, sensibly, discreetly; attentively"
ἡ Νύμφα	Nympha
νύσσω	"to stab, prick"
τὸ νυχθήμερον	night and a day
ὁ νῶτος	back; slope
ξενοδοχέω	to show hospitality
ὁ ξέστης	"pitcher, pot"
ὁ ὄγκος	impediment
ὁδεύω	to travel
ὁδοιπορέω	"to travel, journey"
ὄζω	to stink
ἡ οἰκετεία	household
τὸ οἴκημα	"room, chamber, cell"
οἰκοδεσποτέω	to run a household
ὁ οἰκοδόμος	builder
οἰκονομέω	"to manage, administer"
οἰκουργός	busy at home
ἡ οἰνοφλυγία	drunkenness
ὀκνέω	"to hesitate; hold back, delay"
ὀκταήμερος	on the eighth day
ἡ ὀλιγοπιστία	smallness of faith
ὀλιγόψυχος	discouraged
ὀλιγωρέω	"to think lightly of, despise"
ὀλίγως	barely
ὁ ὀλοθρευτής	destroyer (angel)
*** 4801 - 4825 (/course/66563/koine-greek-3/193/)	
ὀλοθρεύω	to destroy
ἡ ὁλοκληρία	full health
ὀλολύζω	"to moan, wail"
ὁλοτελής	wholly
ὁ Ὀλυμπᾶς	Olympas
ὁ ὄλυνθος	late fig
ὁ ὄμβρος	rainstorm
ὁμείρομαι	to yearn for
ἡ ὁμιλία	company; conversation
ἡ ὁμίχλη	"mist, fog"
ἡ ὁμοίωσις	likeness
ὁμολογουμένως	"confessedly, undeniably"
ὁμότεχνος	having the same trade
ὁμόφρων	of one mind
τὸ ὀνάριον	young donkey
τὸ ὄνειδος	object of reproach; disgrace
ὀνίνημι	"to benefit, have joy"
ὁ ὄνος	donkey
ὁπλίζω	to arm oneself with
ὀπτάνομαι	to appear
ὀπτός	"broiled, roasted"
ἡ ὀπώρα	fruit
ὁρατός	"visible, seen, notable"
ὀργίλος	"quick to anger, quick-tempered"
ἡ ὄρεξις	"appetite, passion"
*** 4826 - 4850 (/course/66563/koine-greek-3/194/)	
ὀρθοποδέω	to walk consistently
ὀρθοτομέω	to use correctly
ὀρθρίζω	"to rise, come in early morning"
ὀρθρινός	morning
τὸ ὅρμημα	assault; attack; violence
ἡ ὁροθεσία	boundary
ὁσίως	in a holy manner
ἡ ὄσφρησις	sense of smell
οὐά	ha!
οὐδαμῶς	by no means
οὐκοῦν	"so, then, accordingly"
ὁ Οὐρβανός	Urbanus
