и	and
оскорблять/оскорбить (+a)	to insult
осмотр	inspection
остывать/остыть	"to cool down, get cold"
отвлечённый	abstract
отворять/отворить (+a)	to open
откидывать/откинуть	"to throw away, throw back (+a)"
откровенность	frankness
отлив	"ebb, falling tide; tinge, tint, play of colours"
отрыв (от +g)	tearing off; isolation (from)
отталкивать/оттолкнуть	"to push away, repel (+a)"
оформлять/оформить (+a)	to put into proper form
палить/с-	"to burn, scorch; singe (+a)"
паровой	steam (adj)
пасти	to graze; shepherd (+a)
пенсионер	pensioner
паёк	ration
перевозить/перевезти (+a)	"to transport across, from swh to swh"
перевязывать/перевязать	to bandage; tie up (+a)
перехватывать/перехватать	to intercept (+a)
перечитывать/перечитать	to reread (+a)
печататься	"to be printed, be published"
пищевой	food (adj)
бледнеть/по-	to turn pale
бояться/по-	"to be afraid, not dare to"
поверхностный	superficial
повисать/повиснуть	"to hang, dangle; droop, sag"
погром	"pogrom, massacre"
поддаваться/поддаться (+d)	"to yield, give way (to)"
подлинно	genuinely
подкладывать/подложить	to put under; add (+a)
подрывной	undermining; subversive
покрываться/покрыться (+inst)	"to be covered (with), cover os (with)"
кушать/по-	to eat (polite usage)
полушарие	hemisphere
полюс	pole (geog)
помниться (+d)	to be remembered
поодаль	at some distance
поправляться/поправиться	to get better; correct os; put on weight
поравняться (с +inst)	"to draw level with, come up to"
порция	portion
постановлять/постановить	"to decide, resolve"
по-старому	as before
потихоньку	slowly; quietly; secretly (coll)
потрудиться (+inf)	to take the trouble (to); do some work
хлопать/по-	"to slap, clap"
почёт	"esteem, respect"
празднование	celebration
преданный	devoted
предвидение	foresight
предельно	maximally
предельный	maximum (adj)
предпосылка	"prerequisite, precondition"
президентский	"president’s, presidential"
пренебрежение	"scorn, neglect"
преподавать	to teach (+a)
претендовать	to claim (sth) (на +a)
привлечение	attraction
прилив	rising tide; influx
приподниматься/приподняться	to raise os slightly
присвоение	appropriation; conferment
пристрастие (к +d)	partiality; weakness (for)
приток	tributary; inflow
пришивать/пришить	to sew on (+a к +d)
проба	"test, trial"
продвижение	"advancement, progress"
проклинать/проклясть	to curse (+a)
пронизывать/пронизать	"to pierce, penetrate, permeate (+a)"
проникновение	penetration
пружина	spring (mechanism)
пульт	control panel; music-stand
пшеничный	"wheat (adj), wheaten"
пытка	torture
равнодушие	indifference
разгораться/разгореться	"to flare up, blaze up"
разоблачение	"exposing, unmasking"
раскрытый	wide-open
расовый	racial
расположенный	"situated; (к +d) inclined, disposed to"
распределять/распределить	to distribute; allocate (+a)
расслышать	to catch (sth said)
рассуждать/рассудить	"to arbitrate (between), judge; decide (+a)"
растерянность	"bewilderment, dismay"
расходовать/из-	"to spend, use up (+a)"
рецепт	recipe; prescription
румяный	"rosy, ruddy"
рушиться/об-	to collapse
рыхлый	"friable, crumbly; (coll) podgy, flabby"
свечка	small candle
свирепый	ferocious
своеобразие	"peculiarity, individuality"
связываться/связаться (с +inst)	to get in touch with; communicate with; (coll) get involved with
святыня	sacred place or thing
сжиматься/сжаться	"to tighten, clench"
символ	symbol
символический	symbolic
сирота	orphan
скорбный	(grammatical term) mournful
скудный	meagre
скуластый	with high cheek-bones
следователь	investigator
следом (за +inst)	behind
служение (+d)	"service (to), serving"
смотр	"inspection, review"
сознательность	awareness
созыв	"calling, summoning (of meeting)"
сопеть	to snuffle
соревноваться (с +inst)	"to compete, vie (with)"
сплочённость	"unity, solidarity"
срабатывать/сработать	to work (function) properly
суждение	"opinion, judgement"
супруг	spouse (husband)
существенно	"vitally, essentially"
сыпать/по-	"to pour, strew (+a or +inst)"
табачный	tobacco (adj)
творец	creator
тереть/по- (+a)	to rub
толкование	interpretation
тонкость	thinness; subtlety
торопить/по- (+a)	to hurry (s.o.)
тракт	highway; route
трещать	to crack; crackle
тридцатый	thirtieth
трость	"cane, walking-stick"
туннель	tunnel
угрожающий	threatening
укладываться/уложиться	to pack one’s things; (в +a) fit (into sth)
укладываться/улечься	"to lie down, go to bed; (p only) calm down; (p only) settle"
уклон	"slope; deviation, bias"
украдкой	stealthily
улавливать/уловить	to catch; detect (+a)
упускать/упустить	to let slip; miss (+a)
усик	"whisker; antenna, feeler"
ускользать/ускользнуть	to slip away
устье	"mouth, estuary"
уточнять/уточнить (+a)	to make more precise; verify
утрата	loss
ухаживать (за +inst)	to look after (s.o.); make advances (to a woman)
участь	"fate, lot (in life)"
уютный	cosy
фабричный	factory (adj)
фаза	phase
федерация	federation
хвойный	coniferous
хмуро	"gloomily, sullenly"
худенький	"slim, thin (coll)"
централизованный	centralized
цитата	quotation
частичный	partial
чередоваться (c +inst)	to alternate (with)
чертить/на-	"to draw, draw up (+a)"
числиться	"to be, be listed; (+inst) be considered (to be sth)"
чувствительный	sensitive
чулан	"store-room, box-room"
чума	plague
чуточку	a little (coll)
шведский	Swedish
шестьсот	six hundred
шкатулка	"casket, box"
шлёпать/шлёпнуть	to smack (+a)
шорох	rustle
щётка	brush
экономить/с- (+a)	"to save, economize"
этикетка	label
юрист	lawyer
явственно	clearly
ягода	berry
аналогия	analogy
аромат	"scent, aroma"
балтийский	Baltic
бас	bass
безгранично	infinitely
бездомный	homeless
безмерно	immensely
бессонница	insomnia
библейский	biblical
благословение	blessing
вежливость	politeness
богатырский	heroic
божественный	divine
братишка	little brother (coll)
бревенчатый	made of logs
вена	vein
бюрократ	bureaucrat
варенье	"jam, preserves"
вглубь	into the depths
вдалеке	in the distance
вдоволь	in abundance; enough
вдохновлять/вдохновить (+a)	to inspire
ведьма	witch
великолепие	magnificence
веник	"brush, bundle of twigs (for sweeping floor or beating body in sauna)"
венок	"wreath, garland"
верхом	on horseback
вечность	eternity
взывать/воззвать (к +d)	to appeal to
вишня	cherry
включаться/включиться	to join; be included; be switched on
влетать/влететь	to fly in
влиятельный	influential
водиться (c +inst)	"to associate with; be, be found"
возобновлять/возобновить (+a)	to renew
воинственный	warlike
вопль	"wail, howl"
воротничок	(small) collar
воспроизводить/воспроизвести (+a)	to reproduce
восхищаться/восхититься (+inst)	to admire
вспылить	to flare up (coll)
всхлипывать/всхлипнуть	to sob
всяческий	all kinds of (coll)
втягивать/втянуть	to pull in (+a)
выжимать/выжать	to squeeze out (+a)
высаживать/высадить	"to set down, land (+a)"
высыпаться/выспаться	to get enough sleep
выяснение	explanation
вязать/с-	to tie; knit (+a)
гармония	harmony
героизм	heroism
гибкий	flexible
гимн	"hymn, anthem"
гипотеза	hypothesis
глотать	to swallow (+a)
голенище	top (of a boot)
голодать	to go hungry
голосование	voting
графин	"carafe, decanter"
громоздкий	"cumbersome, bulky"
гуманитарный	humanitarian; humanities (adj)
гуща	dregs; thicket
даром	"free, gratis"
денёк	day (dim)
детальный	detailed
дефицит	"deficit; shortage, shortages"
джинсы	jeans
добросовестно	conscientiously
документация	"documentation, documents"
достаток	sufficiency; prosperity
драматический	dramatic
дружить (с +inst)	to be friends (with s.o.)
дурачок	"idiot, half-wit"
душный	stuffy
дымиться	to smoke
дырка	small hole
желающий	person interested (in doing sth)
желтоватый	yellowish
законченный	"complete; consummate, professional"
запечатлевать/запечатлеть	to imprint (+a)
затрагивать/затронуть	"to touch, affect (+a)"
шагать/за-	to stride out
зёрнышко	grain
значимость	significance
изгонять/изгнать	"to expel, banish (+a)"
излюбленный	favourite
измеряться/измериться	to be measured
расходовать/израсходовать	"to spend, use up (+a)"
иллюминатор	porthole
иллюстрировать	to illustrate (+a)
именовать/на-	to name (+a)
инвентарь	equipment; inventory
интеллектуальный	intellectual (adj)
ископаемые	minerals
исполненный (+g)	full (of)
исправление	correction
истерика	hysterics
исчерпывающий	exhaustive
итальянец	Italian
канат	"rope, cable"
капиталовложение	capital investment
катить/по-	to roll (sth) (+a)
киевский	Kiev (adj)
кипяток	boiling water
классный	class (adj); first-class
клиника	clinic
коза	goat
козырь	trump
коленка	knee (coll)
колючий	prickly
комар	mosquito
комбинезон	overalls
комод	chest of drawers
конвейер	conveyor belt
конфисковать	to confiscate (+a)
концертный	concert (adj)
концлагерь	concentration camp
кончина	"decease, demise (formal)"
кооперативный	cooperative (adj)
копать/копнуть	to dig (+a)
косо	"squint, askew"
косточка	stone (of fruit); small bone
котёнок	kitten
красить/о-	"to paint, colour; dye"
красноватый	reddish
крах	crash; failure
крошка	crumb
кряхтеть	to groan; grunt
кузов	body (of vehicle); basket
культ	cult
лайнер	liner
лёгкое	lung
лениво	lazily
лечиться (от +g)	"to undergo treatment, be treated for"
линейка	line (on paper); ruler (for drawing lines)
лондонский	London (adj)
лоскут	"rag, scrap"
любезно	"obligingly, courteously"
макушка	top; crown (of head)
маневрировать/с-	to manoeuvre
машинально	mechanically
машиностроительный	mechanical engineering (adj)
мелко	finely; pettily
мельком	in passing
метить (+a)	to mark; (в +a) aim (at)
мещанка	lower middle-class woman; philistine
многообразный	diverse
молва	rumour(s)
монумент	monument
морщинка	wrinkle
мраморный	marble (adj)
мужицкий	"peasant (adj), peasant’s"
наваливать/навалить	"to heap up, pile (+a)"
навечно	for ever
навоз	manure
наглухо	"tightly, firmly"
нагревать/нагреть	"to warm, heat (+a)"
надвигаться/надвинуться	to draw near
надобно	necessary (coll) (= надо)
нанимать/нанять	to hire (+a)
поить/на-	to give to drink (+a)
напоследок	in the end (coll)
наравне (с +inst)	"level (with), on equal terms (with)"
наскоро	hastily (coll)
настежь	wide open
научно	scientifically
недоверчиво	"distrustfully, suspiciously"
незабываемый	unforgettable
немыслимый	unthinkable
ненормальный	abnormal; mad
непобедимый	invincible
неполный	incomplete
непреклонный	"unyielding, adamant"
непреодолимый	insurmountable
неслышно	inaudible; inaudibly
неутомимый	tireless
нырять/нырнуть	to dive
обдумывать/обдумать	"to consider, ponder, think over (+a)"
оберегать/оберечь	to protect (s.o. from sth) (+a от +g)
обиход	"use; custom, practice"
облачный	cloudy
обливать/облить	to pour sth (inst) over sth  (+a +inst)
обложка	cover (of book etc.)
обнажённый	naked
обобщение	generalization
образцовый	"model, exemplary"
обрушиваться/обрушиться	"to collapse, cave in; (на +a) fall upon, attack (s.o. or sth)"
одновременный	simultaneous
оживлённый	"animated, excited"
окрестный	surrounding
опаска	caution (coll)
опровержение	refutation
опущенный	lowered
освободительный	liberation (adj)
осложнение	complication
осмысливать/осмыслить	"to make sense (of sth), interpret (+a)"
оставшийся	remaining
остроумный	witty
отбор	selection
отделяться/отделиться (от +g)	to separate (from)
откликаться/откликнуться	to respond (to sth) (на +a)
отовсюду	from everywhere
отрицание	negation
ощутимый	perceptible
ощущаться	to be felt
панорама	panorama
парламентский	parliamentary
парта	school desk
паутина	cobweb
певица	singer f
первоначально	originally
перевал	crossing; mountain pass
переделка	alteration
перекрёсток	crossroads
перелив	tint; play of colours
перенимать/перенять	"to copy, adopt (+a)"
пересадка	change (of transport); transplant(ation)
переспрашивать/переспросить	to ask again (+a)
периодический	"periodic, recurrent"
пирожок	pie
плавно	smoothly
плавучий	floating
плодотворный	fruitful
повествование	narration
повиноваться (+d)	to obey
поводить/повести (+inst)	"to move, twitch"
пограничный	border (adj)
подвешивать/подвесить	to suspend (+a)
поддержание	"support, maintenance"
подлежать (+d)	to be subject to
подозрительный	suspicious
подолгу	for a long time
по-другому	differently
подружиться (с +inst)	to make friends with
подскакивать/подскочить	to run up; jump up
подступ (к +d)	approach
подтверждаться/подтвердиться	to be confirmed
подчас	sometimes
поединок	duel
поинтересоваться (+inst)	"to take an interest, wonder"
полированный	polished
политбюро	Politburo
политически	politically
положительно	positively
помеха	hindrance
понедельник	Monday
пить/по-	to have a drink
порочный	vicious; defective
поспевать/поспеть	"to be in time for; ripen (coll), be on time; keep up with (к +d/нa +a)"
посредство	mediation
посыпаться	to pour down
по-твоему	in your opinion; as you want it
потирать/потереть	to rub (+a)
тревожить/по- (+a)	to trouble
поучать (+a)	to lecture (s.o.)
щадить/по-	to spare (+a)
преграда	obstacle
предисловие	foreword
предотвращение	prevention
предшествовать (+d)	to precede
пренебрегать/пренебречь (+inst)	to scorn (s.o. or sth)
прения	"debate, discussion"
прибрежный	coastal; riverside
прививать/привить	to inoculate; inculcate (+a)
приз	prize
прикреплять/прикрепить (+a к +d)	to fasten (sth to sth)
примета	sign
присваивать/присвоить	"(+a) to take over, appropriate; award, confer (sth on s.o.)"
присматривать/присмотреть (за +inst)	"to look after, supervise"
пристальный	"fixed, constant"
присутствующий	"present, (as noun) person present"
приучать/приучить (+inf or к +d)	to train (to do sth)
причёска	hairstyle
причудливый	"odd, whimsical"
проповедовать	to preach; advocate (+a)
прорываться/прорваться	to break through; tear
прорезывать/прорезать	to cut through (+a)
просвечивать	to be translucent; shine through
прославлять/прославить	to make famous (+a)
простаивать/простоять	to stand idle
простыня	sheet (bedding)
протокол	protocol; minutes (of meeting)
процедура	procedure
птичка	small bird; tick
пульс	pulse
пускай	let (= пусть) (coll)
пустырь	waste ground
пылать	to blaze
радикальный	radical
радужный	iridescent; radiant
разбег	run
разбой	banditry
разбойничий	"robber’s, brigand’s"
разводиться/развестись	to get divorced; breed
раздражённо	"with irritation, crossly"
разлетаться/разлететься	"to fly apart; scatter, shatter"
размещаться/разместиться	"to be seated, placed, accommodated, take one’s place"
разновидность	"variety, type"
разрываться/разорваться	to break; explode
разоряться/разориться	"to be ruined, bankrupt"
разрешаться	to be permitted; be resolved
раса	race (ethnic)
раскаиваться/раскаяться	to repent (of sth) (в +pr)
раскидывать/раскинуть	"to stretch out, extend (+a)"
расправляться/расправиться (с +inst)	to deal with; straighten out
расцветать/расцвести	"to blossom, bloom"
реализм	realism
регулярно	regularly
регулярный	regular
ремонтировать	"to repair, redecorate (+a)"
ржавый	rusty
робеть/о-	to be timid
розыгрыш	(lottery) draw; practical joke
роковой	fateful
роскошный	luxurious
рослый	"tall, strapping"
рыться/по-	"to dig, rummage (in) (в +pr)"
самоотверженный	self-sacrificing
санитарный	"medical, sanitary"
седина	grey hair
секретный	secret (adj)
секция	section
семьсот	seven hundred
сессия	session; examinations
склонять/склонить (+a)	"to bend, bow"
слияние	confluence; merging
сложно	complicated(ly)
мешать/с-	to mix (+a)
смешиваться/смешаться	"to mix, mingle; get mixed up"
смола	"tar, pitch"
смущённый	embarrassed
собранный	disciplined; precise
совпадение	coincidence
сомнительный	"doubtful, dubious"
сосредоточиваться/сосредоточиться	to concentrate (on) (на +pr)
спасительный	"saving, life saving"
спирт	"alcohol, spirit"
сплочённый	united
ставень	shutter
темнеть/с-	to get dark
стирать/стереть	to rub off; grind down (+a)
сталкивать/столкнуть	to push off; to knock together (+a)
стон	groan
стоп	stop!
суетиться/за-	"to run around, fuss about"
суконный	cloth (adj)
счастливец	lucky man
счёты	abacus
таракан	cockroach
тахта	divan
телеграфный	telegraph (adj)
терпеливый	patient
тесто	"pastry, dough"
толчок	push; jolt
топтаться	to stamp
торговец	trader
тоскливо	drearily
тоскливый	"depressed, depressing"
требовательный	demanding
тренировка	training
треть	third
трогаться/тронуться	to set off
трусливый	cowardly
тряпьё	rags
тряхнуть	to shake
тсс	shh! keep quiet!
тумба	pedestal; bollard
тучка	small cloud
угнетать	to oppress (+a)
удочка	fishing rod
укоризненно	reproachfully
уместно	appropriately
умысел	intention
унижать/унизить	to humiliate (+a)
уничтожаться/уничтожиться	to be destroyed
управляемый	controlled
управляться	to be controlled; (c +inst) deal with
усиленно	intensively
усиленный	"intensive, intensified"
ухитряться/ухитриться (+inf)	to manage (to do sth) (coll)
уют	"comfort, cosiness"
уютно	cosily
уяснять/уяснить (+a)	to understand
фальшивый	FALSE
фарфор	porcelain
фасад	facade
характеризоваться (+inst)	to be characterized (by)
хлебнуть	to drink (coll)
хлопотать/по-	to bustle about; make efforts
холодок	coolness; cool place (coll)
хорошенько	properly (coll)
хрипеть	to wheeze
христианский	Christian
хромать	to limp
хромой	lame
худший	worst
цветущий	blooming; flourishing
целесообразность	expediency
человечность	"humaneness, humanity"
чернеть/по-	to turn black
чёртов	devil’s (adj)
чудовище	monster
чужбина	foreign land
шахтёр	miner
шеренга	"rank, file, column"
шестнадцатый	sixteenth
штора	(window) blind
шуршать	to rustle
авантюрист	adventurer
авиационный	aviation (adj)
агитировать	"to agitate, campaign"
акт	act (of play); document
али	or (coll) (= или)
аргумент	argument
астрономия	astronomy
базис	basis
баловаться	"to play about, indulge os"
бар	bar
бархатный	velvet (adj)
спиртной	alcoholic (adj)
башмак	shoe
бедно	"poorly, cheaply"
безвестный	unknown
безграмотный	illiterate
безделушка	"knick-knack, trinket"
бездельник	idler
бездонный	bottomless
бережливость	thrift
берёт	beret
бесплатно	free (without payment)
беспрепятственный	"unimpeded, unhindered"
бесстрашно	fearlessly
бешенство	fury; rabies
биолог	biologist
биржа	exchange; stock exchange биржа труда labour exchange
сносить/снести (+a)	"to demolish; take down, take off; carry away"
бланк	form (document)
близиться/при-	to draw near
близорукий	short-sighted
блуждать	to wander
богато	richly
боеприпасы	ammunition
бойня	slaughter-house
боязно  (+d) (+inf)	afraid (coll)
брешь	breach
булыжник	cobble-stone; cobbles
буркать/буркнуть	"to mutter, growl (coll)"
валюта	currency; foreign currency
ватный	quilted; cotton wool (adj)
ввысь	upwards
вдогонку	in pursuit (coll)
венский	Viennese
вериться (+d)	to believe
версия	version
вестник	messenger
устаревать/устареть	"to become obsolete, go out of date"
взрываться/взорваться	to explode
взятие	"taking, capture"
взятка	bribe
винить/об-	to accuse (s.o. of sth) (+a в +pr)
вкусно	tasty
тонуть/у-	to drown
властно	imperiously
властный	imperious; authoritative
влечь (+a)	to draw; attract
водоросль	seaweed
возбуждающий	"arousing, stimulating"
возбуждённо	excitedly
воздвигать/воздвигнуть	"to raise, erect (+a)"
воздействовать	"to affect, influence, put pressure on (на +a)"
возмущать/возмутить	"to anger, outrage (+a)"
вооружаться/вооружиться	to arm os
восемнадцатый	eighteenth
воскресать/воскреснуть	to come back to life; revive
воспитываться/воспитаться	to be brought up; be fostered
вражда	enmity
враждебно	hostilely
предвыборный	election (adj)
врозь	separately
всенощная	night service (church)
всероссийский	all-Russian
выборный	electoral; elected
выбывать/выбыть (из +g)	to leave (formal)
выговаривать/выговорить	"(+a) to pronounce, articulate; (coll, i only) tell off, reprimand"
выживать/выжить	to survive
выкидывать/выкинуть	to throw out (+a)
выметать/вымести	to sweep out (+a)
выплата	payment
выполняться	to be fulfilled
выпуклый	"prominent, bulging; convex"
вышвыривать/вышвырнуть	"to throw out, chuck out (coll) (+a)"
гавань	harbour
герб	coat of arms
геройство	heroism
гимнастика	gymnastics
голубчик	my dear (coll)
гонорар	fee; royalties
гоняться (за +inst)	to chase (after)
горячиться/раз-	to get excited
гражданка	citizen (f)
греться/по-	to warm os
гулко	resonantly; with an echoing sound
гулянье	"festival, fete, open-air party"
девятнадцатый	nineteenth
делец	wheeler-dealer
дерзость	rudeness; audacity
доброта	"goodness, kindness"
доисторический	prehistoric
документальный	documentary (adj)
домна	blast furnace
досадно	annoying
достоверность	"authenticity, reliability"
драть/со-	to tear; thrash; fleece (coll) (+a)
дубовый	oak (adj)
дурить	"to be naughty, fool about (coll)"
дымный	smoky
дымчатый	smoke-coloured
дьякон	deacon
дядька	"uncle; man, bloke (coll)"
ель	fir; spruce
ёмкость	capacity
жгучий	burning
желательно	(it is) desirable
жерло	"mouth, muzzle"
жёрнов	millstone
жизнерадостный	"cheerful, happy"
забвение	oblivion
заботливо	solicitously
забрести	"to wander in, drop in; stray"
загар	suntan
загибать/загнуть	to bend (+a)
загораживать/загородить	to fence in; obstruct (+a)
загрузка	loading
задержка	delay
зазвенеть	to begin to ring
заладить	(+a) to keep repeating (sth); (+inf) get into the habit of (coll)
залетать/залететь	(в +a) to fly in; (за +a) fly behind
заливаться/залиться	to be flooded; (+inst) start to do sth vigorously
маскировать/за-	"to disguise, camouflage (+a)"
западня	trap
зараза	infection; (coll) pest
заражать/заразить	to infect (s.o. with sth) (+a +inst)
резать/за-	to kill (+a)
заслонять/заслонить	"to shield, conceal, screen (+a)"
обнадёживать/обнадёжить	"to give hope (to), reassure (+a)"
затворять/затворить	to close (+a)
затериваться/затеряться	"to go missing, be mislaid; vanish (coll)"
захлопывать/захлопнуть	"to bang, slam (+a)"
защищаться/защититься	to defend os; defend one’s thesis (for a higher degree)
зевать/зевнуть	to yawn
земледельческий	agricultural
злодей	villain
зорко	"sharp-sightedly, vigilantly"
зять	son-in-law; brother-in-law
идеализм	idealism
издаваться/издаться	to be published
издавна	since long ago
издательский	publishing (adj)
изумлённо	with amazement
буржуазия	bourgeoisie
классовый	class (political) (adj)
алмаз	(uncut) diamond
сосуд	vessel
монополия	monopoly
пятилетка	five-year plan
чайка	seagull
кислота	acid; acidity
консул	consul
австриец	Austrian (noun)
австрийский	Austrian (adj)
окорок	"ham, gammon"
майор	major
всесоюзный	all-union (relating to all the republics of the USSR)
углерод	carbon
управляющий (+inst)	manager
колониальный	colonial
красноармеец	Red Army soldier
шарф	scarf
волосок	(a) hair
специализированный	specialized
эксперт	expert
араб	Arab
беженец	refugee
вахта	watch (on ship); special work shift
трест	trust; group of companies
хоккеист	hockey player
всадник	horseman
вычислительный	"calculating, computing"
гипс	plaster (of Paris)
общаться (с +inst)	"associate, socialize (with)"
заготовка	state order (for goods); stocking up
монархия	monarchy
нравственность	morality
длительность	duration
мишень	target
зарплата (заработная плата)	"pay, wages, salary"
трасса	"route, course (of road etc.)"
казачий	Cossack (adj)
кухарка	cook (f)
облигация	bond
вальс	waltz
кормовой	stem (of ship - adj); fodder (adj)
астроном	astronomer
воззрение	"opinion, outlook"
кодекс	"code, codex"
эфир	air (broadcasting); ether
зола	"ashes, cinders"
китель	"military jacket, high-necked tunic"
концентрация	concentration
обождать	to wait (coll) (+a)
превосходительство	excellency (title)
буржуй	bourgeois (noun) (coll)
идейный	ideological; containing ideas; progressive; high-principled
электронный	electronic
буксир	tugboat; tow-rope
лакей	lackey; servant
пропуск	"pass, permit; blank, gap"
осадок	sediment; deposition; after-taste
растительный	vegetable (adj)
ячейка	cell
артиллерист	gunner
сосуществование	coexistence
озимый	winter of crops
поручик	lieutenant (tsarist army)
горничная	maid (servant)
терраса	terrace
вселенная	universe
люк	"hatch, hatchway, manhole"
скептик	sceptic
светящийся	luminous
хрусталь	"crystal, cut glass"
плуг	plough
частушка	"chastushka, witty rhyme"
ширма	screen
союзный	allied; of the USSR
спекулянт	speculator
тренер	"trainer, coach"
брусок	"bar, ingot"
гранит	granite
кролик	rabbit
монументальный	monumental
водород	hydrogen
очко	"point (in scoring); (pl) glasses, spectacles"
рудник	mine (for minerals)
футбол	football
хутор	farm; Ukrainian hamlet
потребление	consumption
республиканский	republican
кратер	crater
атмосферный	atmospheric
световой	"light (adj, as in ‘light year’)"
станица	Cossack village
руда	ore
бабка	grandmother; old woman (coll)
канадец	Canadian (man)
кукуруза	maize
лирический	lyrical
нары	"bunk, plank-bed"
научно-технический	scientific and technical
серный	sulphuric
фланг	flank
шестёрка	six; group of six
шеф	"boss, chief"
брус	beam (of wood or metal)
египетский	Egyptian (adj)
излучать/излучить	to radiate (+a)
коммунистический	communist (adj)
контрреволюция	counter-revolution
котлован	"foundation pit, trench"
линза	lens
обоз	string of carts; military transport
аж	even (coll) (= даже)
буфетчик	barman
кубометр	cubic metre
курган	"barrow, burial mound"
металлургический	metallurgical
обсерватория	observatory
отчётный	"report (adj), reporting"
платёжный	payment (adj)
платёж	payment
покуда	while (coll) (= пока)
сочный	"juicy, rich"
суша	(dry) land (opposite of sea)
агитатор	agitator
альпийский	alpine
батя	"dad, father (coll) (= батюшка)"
большевистский	Bolshevik (adj)
стабильность	stability
гимназист	grammar-school pupil
изумруд	emerald
проектирование	planning
урожайность	"crop productivity, yield"
физкультура	physical training
устный	oral
выемка	taking out; collection (of letters)
гармошка	accordion (coll)
горком	town committee
заряженный	loaded (of weapon)
караван	caravan; convoy
крона	crown (of tree); crown (currency)
механика	mechanics
накидка	"cloak, mantle, cape"
отставлять/отставить	to set aside (+a)
павильон	pavilion
патруль	patrol
портовый	port (adj)
проситься/по-	to ask for (+inf or в/на +a)
скульптор	sculptor
упираться/упереться	to lean (against); come up against (в +a)
уполномоченный	plenipotentiary; person authorized
шайба	washer; (hockey) puck
штатский	civilian (adj) (not military)
штык	bayonet
альбом	album
Богородица	the Virgin
валовой	gross (adj)
гол	goal (sport)
грузчик	docker; freight handler
двусторонний	"double-sided, two-way; bilateral"
девальвация	devaluation
десятина	desiatina (about a hectare)
козырёк	peak (of cap)
субъективный	subjective
вожжа	rein
гамма	"scale; gamut, range"
карниз	cornice; ledge
древесина	timber
опрос	survey; questioning
католический	Catholic (adj)
комета	comet
литератор	"literary man, man of letters"
перевозка	transportation
подвижный	"mobile, agile"
проектный	planning (adj); projected
раковина	"(sea)shell; sink, wash-basin"
семечко	(small) seed
сера	sulphur
сметана	sour cream
суждено (+d +inf)	it is fated
ввод	bringing in
внешнеполитический	foreign-policy (adj)
вредитель	pest
дотация	subsidy
жилетка	waistcoat
заболевание	illness
закалка	"physical training, fitness"
залежь	(mineral) deposit
зерновой	grain (adj)
изготовляться/изготовиться	to be manufactured; get ready
инспекция	inspection
коллективизация	collectivization
конструкторский	design (adj)
кооперация	cooperation
лесничий	"forest warden, ranger"
лишение	deprivation
производитель	producer
феномен	phenomenon
радист	radio operator
упрочение	strengthening
уран	uranium
хам	boor (coll)
хрустальный	crystal (adj)
алкоголик	alcoholic (noun)
чреватый (+inst)	fraught (with)
география	geography
душевно	mentally; cordially
известь	lime (chemical)
конюшня	stable
крупа	groats (grain)
лягушка	frog
металлургия	metallurgy
мыс	"cape, promontory"
обследовать	to investigate (+a)
отрез	cut
перемирие	truce
плот	raft
предусматриваться	"to be envisaged, be stipulated"
принуждение	compulsion
прирост	increase
разгадывать/разгадать	"to guess, work out (+a)"
растворять/растворить	to open; dissolve (+a)
реактивный	jet-propelled
рысь	trot; lynx
рюкзак	rucksack
связист	signaller; communications engineer
синтетический	synthetic
сострадание	compassion
старт	start (sport)
сушить/вы- (+a)	to dry (sth)
декада	ten-day period
завоеватель	conqueror
катушка	"reel, spool"
китаец	Chinaman
комендатура	commandant’s office
котлета	"cutlet; meatball, hamburger"
математический	mathematical
микрофон	microphone
обострение	"intensification, sharpening"
пират	pirate
плавки	swimming trunks
поваренный	culinary
престарелый	"aged, of advanced years"
пурга	blizzard
репортёр	reporter
свинство	swinish trick (coll)
секретарша	(female) secretary (coll)
таёжный	taiga (adj)
убеждённость	conviction
шотландский	Scottish
шпага	sword
штабной	"staff, headquarters (adj)"
щепа	"splinter, chip"
эволюция	evolution
экватор	equator
ягнёнок	lamb
австралийский	Australian (adj)
антисемитизм	antisemitism
боб	bean
булавка	pin
ватага	"band, gang"
воззвание	appeal
всемерный	"utmost, every kind of"
дебют	debut
естествознание	natural science
милосердие	"mercy, charity"
карусель	"merry-go-round, carousel"
кондиционер	air conditioner
хозрасчёт	self-financing
чутьё	"scent; instinct, intuition"
накалённый	white-hot; tense
новатор	innovator
оптимальный	optimal
остов	framework
отсек	compartment
прищуриваться/прищуриться	"to screw up one’s eyes, half close one’s eyes"
пробег	"run, race"
прослезиться	to shed tears
скула	cheekbone
ракетный	rocket (adj)
резьба	carving
родовой	ancestral; generic; birth (adj)
социал-демократический	social-democratic
туалет	toilet
футболист	footballer
чемоданчик	small suitcase
шовинизм	chauvinism
шоры	blinkers
аванс	advance (payment)
атеистический	atheistic
бабушкин	grandmother’s (possessive adj)
гипсовый	plaster
ересь	heresy
застенок	torture-chamber
кефир	"kefir, yoghurt-type drink"
извещать/известить	"to inform, notify (bookish) (+a)"
калач	kalach (small white loaf)
кличка	nickname; name (of pet animal)
колокольчик	small bell; bluebell
композиция	composition
контур	contour; outline; electrical circuit
координация	coordination
кочка	hummock
кубик	child’s building brick
кура	hen (coll) (=курица)
кустарник	"bushes, shrubs"
ледниковый	glacial
