*** 1 - 10 (/course/195613/spanish-nouns-4/1/)	
el pajecillo	little page
la astenosfera	asthenosphere
la azitromicina	azithromycin
la bentonita	bentonite
la bioingeniería	bioengineering
la calderería	boiler
el chapuz	"duck, plunge, ducking"
el cheddar	Cheddar
el chiísmo	Shiism
la comisionada	Commissioner
la compulsa	attested copy
*** 2521 - 2530 (/course/195613/spanish-nouns-4/254/)	
la guajira	"guajira, Cuban folksong"
el hegelianismo	Hegelianism
la indestructibilidad	indestructibility
la inmunoterapia	immunotherapy
la insipidez	"tastelessness, tameness, insipidness"
la leontina	fob
el llavín	latchkey
la maicena	"cornstarch, cornflour"
la malaventura	misadventure
el neurofisiólogo	neurophysiologist
*** 2531 - 2540 (/course/195613/spanish-nouns-4/255/)	
la onagra	evening primrose
la paleogeografía	"palaeogeography, paleogeography"
la pastorela	pastourelle
la perpendicularidad	perpendicularity
(el)(la) pertiguista	pole vaulter
la psicolingüística	psycholinguistics
el remozamiento	renovation
la retranca	breeching
el sarro	"scale, tartar, fur"
la somatotropina	somatotropin
*** 2561 - 2570 (/course/195613/spanish-nouns-4/256/)	
el aloe	"aloes, aloe"
los archeros	archers
la aspergilosis	aspergillosis
el bávaro	Bavarian
la cubrecama	bedspread
el primerizo	beginner
el machetazo	"blow with a machete, slash with a machete, knife-wound"
(el)(la) valiente	"brave, valiant, brave man"
la británica	Briton
el baldaquín	"canopy, baldachin"
*** 2551 - 2560 (/course/195613/spanish-nouns-4/257/)	
el capacete	hardhat
(el)(la) invidente	blind
el rapapolvo	"telling-off, talking-to, ticking off"
el tullido	cripple
la desgarradora	heartbreaking
el plenipotenciario	plenipotentiary
el apuntalamiento	"propping-up, underpinning"
(el)(la) conferencista	"lecturer, speaker, attendee"
el cachorrillo	pup
el sacador	server
*** 2571 - 2580 (/course/195613/spanish-nouns-4/258/)	
el pitufo	"career politician, policeman"
el cartulario	cartulary
la cauterización	"cauterization, cautery"
los censales	census
la chequera	"cheque book, check book, cheque book wallet"
el comedio	Comedio
el urinario	"comfort station, urinal, public lavatory"
el consignatario	consignee
el portacontenedores	container
(el)(la) contratante	"contractor, contracting party"
*** 2581 - 2590 (/course/195613/spanish-nouns-4/259/)	
el criptograma	cryptogram
el difusor	diffuser
la charretera	"epaulette, epaulet"
el floreo	flourish
la arrebolada	flushed
el apuntamiento	fussiness
el gaje	"gauge, perk, gage"
(el)(la) geómetra	"geometrician, geometer"
el geriátrico	geriatric
la estría	"groove, score, flute"
*** 2601 - 2610 (/course/195613/spanish-nouns-4/260/)	
la macromolécula	macromolecule
la menina	"maid of honour UK, maid of honor US, young lady-in-waiting"
(los)(las) masagetas	Massagetae
el entrepiso	"mezzanine, loft"
(el)(la) modernista	modernist
la nebulosidad	"nebulosity, fogginess"
el negrillo	Negrillo
(el)(la) caradura	"nerve, cheek, face"
la neurotoxina	neurotoxin
el ordinario	ordinary
*** 2591 - 2600 (/course/195613/spanish-nouns-4/261/)	
el grotesco	grotesque
el jaique	haik
la ilustrada	illustrated
la siempreviva	immortelle
el junquillo	"jonquil, bead, baguette"
la cetoacidosis	ketoacidosis
el linier	linesman
el altoparlante	loudspeaker
el chichón	"lump, bump, swelling"
el altramuz	Lupin
*** 2611 - 2620 (/course/195613/spanish-nouns-4/262/)	
el práctico	pilot
el prevaricador	prevaricator
(el)(la) psicoterapeuta	psychotherapist
el ranchero	"rancher, estate car, station wagon"
la superfluidad	"redundancy, superfluity"
el avivamiento	revival
el roquete	rochet
la frotación	rub
el septenario	septenary
el engaste	"setting, mount, mounting"
*** 2621 - 2630 (/course/195613/spanish-nouns-4/263/)	
la pacotilla	"shoddy, rubbish, trash"
las cuclillas	squatting
el taquígrafo	"stenographer, shorthand writer"
el espesante	thickener
el tique	"ticket, voucher, coupon"
el tiralíneas	tracer
la baratija	"trinket, knick-knack, bric-a-brac"
el uréter	ureter
la vampiresa	vamp
la roncha	"weal, welt"
*** 2631 - 2640 (/course/195613/spanish-nouns-4/264/)	
la argelina	Algerian
(el)(la) campista	camper
la canaria	canary
la controladora	controller
la cortadora	cutter
la desarrolladora	developer
las egipcias	Egyptian
la electora	"elector, constituent"
la estoica	stoic
la hospedadora	host
*** 2641 - 2650 (/course/195613/spanish-nouns-4/265/)	
la impostora	"impostor, sham"
la limeña	Lima person
la lituana	Lithuanian
la mocosa	"brat, punk"
la pagana	"heathen, pagan"
el roto	"tear, rip"
la tailandesa	Thai
el lucernario	skylight
el tañedor	minstrel
el portabrocas	chuck
*** 2661 - 2670 (/course/195613/spanish-nouns-4/266/)	
el cateterismo	catheterization
el cerbero	Cerberus
el chupito	shot (alcohol)
la denudación	denudation
el desiderátum	desideratum
el devanagari	Devanagari
el difosfato	diphosphate
(el)(la) elitista	elitist
el empalamiento	impalement
el endoesqueleto	endoskeleton
*** 2651 - 2660 (/course/195613/spanish-nouns-4/267/)	
el saboteador	saboteur
el tecnólogo	technologist
el almete	Shadowcraft Cap
el amaranto	amaranth
el amontillado	amontillado
el aparatito	gizmo
el aragonito	aragonite
la arboricultura	arboriculture
el blanqueamiento	whitening
el bruxismo	bruxism
*** 2671 - 2680 (/course/195613/spanish-nouns-4/268/)	
el ennegrecimiento	blackening
el esaú	Esau
la escancia	pours
la escarda	spud
el espéculo	speculum
la exultación	"exultation, exultancy"
la gazmoñería	"prudery, prudishness"
el geniecillo	genie
el gravitón	graviton
la grisalla	grisaille
*** 2691 - 2700 (/course/195613/spanish-nouns-4/269/)	
el odeón	Odeon
el pipí	"pee, piss, peepee"
la plegadera	paper folder
la plomería	plumbing
la porfiria	porphyria
la procaína	procain
la procreadora	procreative
la rafia	"raffia, raffia palm, raffia fibre US"
el regatón	"tip, ferrule, haggler"
la registración	enrollment
*** 2681 - 2690 (/course/195613/spanish-nouns-4/270/)	
la hidrodinámica	hydrodynamic
el hipogrifo	hippogriff
la inalienabilidad	inalienability
la infatuación	"infatuation, conceit, crush"
la intercesora	intercessory
la librera	bookshop
la litispendencia	lis pendens
la logopedia	speech
el mesenterio	mesentery
la nefrología	nephrology
*** 2711 - 2720 (/course/195613/spanish-nouns-4/271/)	
el zascandil	"busybody, featherbrained person"
la almadía	raft
el auditivo	receiver
el niquelado	nickel plating
la hortera	"a person with vulgar taste, a pretentious person"
la candelilla	"aglet, aiglet"
el anón	anon
(el)(la) arabista	Arabist
la chuchería	"bauble, trinket, candy"
el contemplador	beholder
*** 2701 - 2710 (/course/195613/spanish-nouns-4/272/)	
la reluctancia	reluctance
la reseda	"reseda, mignonette"
el salpicón	"seafood salad, splash, dash"
el sari	sari
el sibaritismo	sybaritism
el sismógrafo	seismograph
la sobretasa	"surcharge, surtax, levy"
el sumador	adder
el tarjetón	Cards
el xileno	xylene
*** 2721 - 2730 (/course/195613/spanish-nouns-4/273/)	
la bucólica	bucolic
el calculador	calculator
la caloría	calorie
la cureña	carriage
el cartaginés	Carthaginian
la cidra	citron
el corozo	cohune
la combinatoria	combinatorial
la barragana	"concubine, hooker, cutty"
el copto	Copt
*** 2731 - 2740 (/course/195613/spanish-nouns-4/274/)	
la cotangente	cotangent
la rajadura	"crack, split"
el maldito	darn
el dentífrico	"dentifrice, toothpaste"
la diaforesis	diaphoresis
las dioptrías	diopters
la chunga	dodgy
el buñuelo	"donut, sweet fritter, profiterole"
los onces	eleven
(el)(la) federalista	federalist
*** 2741 - 2750 (/course/195613/spanish-nouns-4/275/)	
el trapicheo	fiddle
los foraminíferos	foraminifera
las tenacillas	forceps
el defraudador	fraudster
el frutero	"fruit bowl, fruit dish, fruit basket"
el murmurador	"gossip, backbiter"
el alabardero	halberdier
la carraspera	"hoarseness, have a frog in the throat"
(el)(la) intolerante	intolerant person
la tulipa	Lens
*** 2761 - 2770 (/course/195613/spanish-nouns-4/276/)	
el naranjal	Orangery
(el)(la) perfeccionista	perfectionist
los pompeyanos	Pompeian
el protozoo	protozoon
el azogado	quicksilvering
el gazapo	rabbit
el escribidor	Scriptwriter
el alcaudón	"shrike, butcher bird"
los sirenios	Sirenia
el escorial	"slagheap, dump"
*** 2771 - 2780 (/course/195613/spanish-nouns-4/277/)	
el ranurado	slotted
el ligado	"slur, ligature"
el piscolabis	"snack, bite, munchie"
(el)(la) aguafiestas	"spoilsport, killjoy, wet blanket"
el aspersor	sprinkler
el entrepuente	"steerage, steering"
la mayordomía	stewardship
el orzuelo	"stye, sty"
la subdominante	subdominant
(el)(la) opa	takeover bid
*** 2781 - 2790 (/course/195613/spanish-nouns-4/278/)	
los tuberculosos	TB
los valores	"values, securities, stock"
el verbalismo	verbalism
la desoladora	desolation
la bailadora	dancer
la dobladora	bender
la ermitaña	hermit
la constipación	constipation
el facsímile	facsimile
la puertorriqueña	Puerto-Rican
*** 2751 - 2760 (/course/195613/spanish-nouns-4/279/)	
el arrasamiento	"leveling, annihilation, desolation"
la elucubración	lucubration
la mayor	"major, mainsail, main"
(el)(la) masoquista	masochist
los milesios	Milesians
la batidora	"mixer, whisk, beater"
el montenegrino	Montenegrin
(el)(la) neonazi	neo-Nazi
el escandinavo	Norseman
la aceitada	oiled
*** 2791 - 2800 (/course/195613/spanish-nouns-4/280/)	
el colocador	setter
el financiero	financier
el relajante	sedative
(el)(la) sunita	Sunni
el alicantino	Alicante
la endivia	"chicory, endive"
el jorobado	"humpback, hunchback"
el rosarino	Rosario
el serrano	"hill-dweller, mountain-dweller, mountain people"
el tanzano	Tanzanian
*** 2801 - 2810 (/course/195613/spanish-nouns-4/281/)	
el tibetano	Tibetan
el achatamiento	"flattening, loss of moral fibre"
el afinador	"tuning key, tuner (piano)"
el amaine	subsidence
el amárico	Amharic
el arseniuro	arsenide
el atropellamiento	runover
la bañadera	"bath, bathtub"
el barboquejo	chinstrap
la batimetría	bathymetry
*** 2811 - 2820 (/course/195613/spanish-nouns-4/282/)	
el broncoespasmo	bronchospasm
el burbujeo	"bubble, burble"
la cachimba	"hookah, water pipe, hubble-bubble pipe"
el carrilero	winger
la cayena	cayenne
el cerrador	finisher
el chale	chalet
la chismografía	gossip
la cocinita	kitchenette
la correduría	brokerage
*** 2821 - 2830 (/course/195613/spanish-nouns-4/283/)	
(el)(la) corregente	regent
el cronicón	chronicle
el curling	curling
la divorciada	divorcee
el encañado	"pipe, conduit"
la endodoncia	endodontics
el ensalmo	incantation
el enyesado	"cast, plaster cast"
el espolique	footman
la eufrasia	euphrasy
*** 2841 - 2850 (/course/195613/spanish-nouns-4/284/)	
el jedive	Khedive
el lamaísmo	Lamaism
el legalismo	legalism
la leñera	woodshed
la leucina	leucine
la lubricidad	lubricity
el mildiu	mildew
el nabab	nabob
la naranjada	"orangeade, orange squash"
la nitrificación	nitrification
*** 2831 - 2840 (/course/195613/spanish-nouns-4/285/)	
el forfait	"lift pass, ski pass"
la garlopa	"jointer, trying plane"
la gastroenterología	gastroenterology
el guaro	liquor
la haraganería	truancy
la hipermetropía	farsightedness
el humero	flue
la incomprensibilidad	incomprehensibility
la indistinción	"indistinctness, vagueness"
la inulina	inulin
*** 2851 - 2860 (/course/195613/spanish-nouns-4/286/)	
la oclocracia	ochlocracy
el papo	"food for birds of prey, cheek, nerve"
la parótida	parotid
la pimpinela	burnet
la pinga	"stick, pinch, hook"
el pleistoceno	Pleistocene
la poliamida	polyamide
el probabilismo	probabilism
el proteo	Proteus
la rodopsina	rhodopsin
*** 2861 - 2870 (/course/195613/spanish-nouns-4/287/)	
el sinólogo	"sinologist, sinologue"
el snobismo	"snobbery, snootiness"
la tablazón	"plank, planking"
el tacómetro	tachometer
el tecleo	"typing, keying"
(el)(la) titi	"bird, chick"
el tósigo	Venom
la trombina	thrombin
el ultranacionalismo	ultra-nationalism
el varillaje	"ribs, ribbing, rods"
*** 2881 - 2890 (/course/195613/spanish-nouns-4/288/)	
la muda	"abscission, leaf drop, leaf fall"
el activador	activator
el apriorismo	apriority
el sotabanco	attic
el notable	B grade
(el)(la) aeronauta	"balloonist, aeronaut"
la guasa	"banter, joke, jest"
el bípedo	biped
la murria	"blues, depression"
el fangal	"bog, slough"
*** 2891 - 2900 (/course/195613/spanish-nouns-4/289/)	
el retumbo	"boom, rumble, reverberation"
la panera	"breadbasket, bread bin, bread basket"
la descompostura	breakdown
el enladrillado	brick paving
el brochazo	"brushstroke, dab"
el desafiador	"challenger, challenge"
la mascada	"chewing motion, bite, scarf"
el cilio	cilium
(el)(la) concertista	concert
la cordelería	cordage
*** 2871 - 2880 (/course/195613/spanish-nouns-4/290/)	
el ventrílocuo	ventriloquist
la pajuela	"spill, match, toothpick"
el chorrillo	steady trickle
el mutilado	"mutilated person, cripple, war amputee"
el berlinés	Berliner
el mejunje	concoction
el gracioso	"joker, comic character, fool"
el encordado	"ring, strings, guitar"
los veintes	"twenties, twentieth"
el subastador	auctioneer
*** 2901 - 2910 (/course/195613/spanish-nouns-4/291/)	
el corimbo	corymb
el bastoncillo	cotton swab
la prímula	"cowslip, primula, polyanthus"
el transtorno	disorder
el arete	earring
el zarcillo	"earring, tendril, holdfast"
el filtrador	filter
los platelmintos	flatworms
la mullida	fluffy
la inocentada	Fool
*** 2921 - 2930 (/course/195613/spanish-nouns-4/292/)	
la entena	lateen yard
el lixiviado	leached
la trola	"lie, fib, whopper"
el infundio	"malicious lie, false story, false rumour"
los manchegos	Mancha
la martingala	martingale
el camellón	median
(el)(la) múltiplex	multiplex
el nanómetro	naked
la novísima	newest
*** 2911 - 2920 (/course/195613/spanish-nouns-4/293/)	
la agalla	"gill, gall, white indigoberry"
la vidriería	glassmaking
el rallador	grater
la hopalanda	greatcoat
el capacho	"hamper, hod"
el zarzo	"hurdle, wattle"
el higrómetro	hygrometer
(el)(la) idólatra	"idolater, heathen"
el jacobino	Jacobean
(el)(la) yonqui	junkie
*** 2931 - 2940 (/course/195613/spanish-nouns-4/294/)	
la perseguidora	persecutor
el profanador	profaner
el minino	"pussy, pussycat, puss"
el piroxeno	pyroxene
los quintillizos	"quintuplets, quins"
el reclutador	recruiter
el salmonete	red mullet
la reformada	reformed
el rescripto	rescript
el responsorio	response
*** 2961 - 2970 (/course/195613/spanish-nouns-4/295/)	
el soufflé	souffle
la vallisoletana	Valladolid
la pantufla	slipper
el endocrinólogo	endocrinologist
la panoja	panicle
el panqueque	pancake
la absorbencia	absorbency
el acápite	"paragraph, section, heading"
el acotamiento	gating
el adminículo	accessory
*** 2941 - 2950 (/course/195613/spanish-nouns-4/296/)	
la juncia	sedge
la autodefinición	self-
los seropositivos	seropositive
la sextina	sestina
la balda	shelf
la aplanadora	steamroller
el subsahariano	Sub-Saharan
la peladilla	sugar almond
el trillado	thorough investigation
la desgarrada	torn
*** 2951 - 2960 (/course/195613/spanish-nouns-4/297/)	
el velocípedo	velocipede
los vibrantes	vibrant
el afectado	"victim, person affected"
el reglaje	adjustment
el autoestop	hitch-hiking
la alholva	fenugreek
la gaditana	Cadiz
la ganadera	"cattle rancher, rancher, breeder"
la introductora	introducer
la samaritana	Samaritan
*** 2971 - 2980 (/course/195613/spanish-nouns-4/298/)	
la alexia	alexia
la aliara	allied
el alioli	aioli
el angoleño	Angolan
la autobomba	pumper
el autoerotismo	autoerotism
el bálago	thatch
la biblioteconomía	librarianship
el bolsito	placket
el bonapartismo	Bonapartism
*** 2981 - 2990 (/course/195613/spanish-nouns-4/299/)	
la botavara	sprit
la cabezonería	pigheadedness
la cacharrería	crockery shop
el cartabón	set square
el cascabillo	husk
la chueca	"chueca, bone"
la cienciología	Scientology
la clamidia	chlamydia
el climaterio	climacteric
la confortabilidad	comfort
*** 2991 - 3000 (/course/195613/spanish-nouns-4/300/)	
la cromosfera	chromosphere
la dimensionalidad	dimensionality
el discursito	little speech
el doctrinarismo	doctrinairism
la doncellez	maidenhood
la ebonita	ebonite
la endemoniada	devilish
la espelta	spelt
la espineta	spinet
el esquileo	shearing
*** 3001 - 3010 (/course/195613/spanish-nouns-4/301/)	
la eufonía	euphony
la extroversión	extroversion
el factótum	"factotum, busybody"
el gadolinio	gadolinium
la hidroponía	hydroponics
la hifa	hyphae
la insinceridad	insincerity
el joule	joule
la lambada	lambada
el latirismo	lathyrism
*** 3011 - 3020 (/course/195613/spanish-nouns-4/302/)	
el macroproyecto	macroproject
la mantita	"blanket, coarse cotton cloth, poncho"
el mecano	meccano
la neumología	pulmonology
el ñoño	drip
la orofaringe	oropharynx
(el)(la) otomí	Otomi
la palingenesia	palingenesis
el papismo	"popery, papism, papistry"
el pelagianismo	Pelagianism
*** 3041 - 3050 (/course/195613/spanish-nouns-4/303/)	
la torrentera	"gully, watercourse"
la rojez	"redness, blotch"
el vilano	thistledown
el botalón	outrigger
la acompañada	accompanied
el aerostato	"aerostat, air balloon"
el portaaeronaves	aircraft carrier
el alsaciano	Alsatian
los amalgamados	amalgamated
el arabismo	Arabism
*** 3031 - 3040 (/course/195613/spanish-nouns-4/304/)	
el tártago	"spurge, mishap, misfortune"
la termorregulación	thermoregulation
la tetraciclina	tetracycline
el trasgresor	transgressor
la uremia	"uremia, uraemia"
la vicerrectora	rector
el atracadero	pier
el alavés	from Alava
el lampazo	"burdock, floor mop, whipping"
el cebador	choke
*** 3021 - 3030 (/course/195613/spanish-nouns-4/305/)	
el peloteo	"knock up, rally, warm-up"
el pluriempleo	moonlighting
la poliuria	polyuria
la procuraduría	attorney
el radiólogo	radiologist
el saxófono	"saxophone, saxophonist, sax"
la sericultura	sericulture
la sexología	sexology
el sobreparto	childbed
el tableteo	"rat-a-tat, rat-tat-tat"
*** 3071 - 3080 (/course/195613/spanish-nouns-4/306/)	
el retorcimiento	contortion
el crocante	crocante
la bocamanga	cuff
las estaquillas	cuttings
la degollación	Decapitation
el engañador	"deceiver, impostor, cheat"
la delicatessen	"delicatessen, deli"
la depravada	depraved
la documentada	documented
la taladradora	drill
*** 3111 - 3120 (/course/195613/spanish-nouns-4/307/)	
el preparativo	preparative
el merodeo	"prowl, marauding"
el pterodáctilo	pterodactyl
la pubescencia	pubescence
el trapero	"ragman, ragpicker"
el pluviómetro	"rain gauge, pluviometer"
la ranchera	"rancher, ranchera, woman ranch-owner"
(el)(la) montaraz	Ranger
las reconditeces	recesses
la repetidora	repeater
*** 3191 - 3200 (/course/195613/spanish-nouns-4/308/)	
la hosquedad	surliness
el indagador	searcher
la irreductibilidad	irreducibility
la justa	"joust, jousting"
la lectoescritura	literacy
el listín	"telephone directory, phone book"
la longanimidad	longsuffering
el malacate	"winch, capstan, spindle"
el oocito	oocyte
la pachanga	"pachanga, party, rowdy celebration"
*** 3051 - 3060 (/course/195613/spanish-nouns-4/309/)	
el butacón	armchair
(el)(la) azteca	Aztec
el golpetazo	bash
la bazuca	bazooka
el cojinete	"bearing, bushing, pin cushion"
el apaleamiento	beating
el verraco	"boar, male pig"
la bolina	bowline
la tacada	break
el amiguete	buddy
*** 3061 - 3070 (/course/195613/spanish-nouns-4/310/)	
el chubasquero	"cagoule, raincoat, slicker"
el canino	"canine, canine tooth"
el contado	cash
el catecúmeno	catechumen
el formón	"chisel, mortise chisel"
el cebollino	"chive, scallion"
la gordita	chubby
el clisé	cliche
la polvera	"compact, powder compact, powder box"
el conciliador	"conciliator, peacemaker"
*** 3081 - 3090 (/course/195613/spanish-nouns-4/311/)	
el electrochoque	electroshock
el maléfico	evil
la extractora	extractor
la fallera	faller
el falso	false evidence
el cervato	"fawn, brocket"
el forzamiento	forcing
el nomeolvides	forget-me-not
el expósito	foundling
(el)(la) genocida	genocidal
*** 3091 - 3100 (/course/195613/spanish-nouns-4/312/)	
(el)(la) gerundense	Girona
el cosechero	"harvester, reaper"
(el)(la) helenista	"Hellenist, Greek scholar"
la herboristería	herbalist's
la ociosa	idler
el kleenex	Kleenex
la cifosis	kyphosis
el grumo	"lump, clot, grume"
el macrocosmo	macrocosm
el masetero	masseter
*** 3171 - 3180 (/course/195613/spanish-nouns-4/313/)	
la coloratura	coloratura
la comunicabilidad	communicability
la conglomeración	conglomeration
el creso	Croesus
el curanderismo	"folk medicine, quack medicine, quackery"
la deseabilidad	desirability
el desencantamiento	disenchantment
la disuria	dysuria
la elastina	elastin
el emboque	tight passage
*** 3141 - 3150 (/course/195613/spanish-nouns-4/314/)	
la decoradora	decorator
el eccema	eczema
la francotiradora	sniper
la luterana	Lutheran
la murciana	from Murcia
la peletera	"furrier, skinner"
la veneciana	Venetian
el decantador	decanter
el lisonjero	flatterer
el meloncillo	mongoose
*** 3101 - 3110 (/course/195613/spanish-nouns-4/315/)	
el milpiés	"millipede, millepede"
la palomilla	moth
la neuritis	neuritis
el octante	octant
los envasadores	packers
el pimentero	"pepper shaker, pepper, pepperbox"
el fotograbado	"photoengraving, photogravure"
(el)(la) carterista	pickpocket
el pictograma	pictogram
el encuestador	pollster
*** 3181 - 3190 (/course/195613/spanish-nouns-4/316/)	
el encendimiento	"passion, ardour, eagerness"
la endocrinología	endocrinology
la espinita	thorn
el fletamento	affreightment
el francio	francium
el globulina	globulin
el gramaje	weight
la grifa	"griffin, gryphon, dope"
la guata	"wadding, wad, batting"
el hirsutismo	hirsutism
*** 3201 - 3210 (/course/195613/spanish-nouns-4/317/)	
la pana	"corduroy, cord, corduroys"
el pillín	"rascal, scamp"
el pirofosfato	pyrophosphate
el plasmodio	plasmodium
el polibuteno	polybutene
la potabilidad	potability
el presbiterianismo	Presbyterianism
el profetismo	prophecy
la prostaglandina	prostaglandin
el protoplasto	protoplast
*** 3221 - 3230 (/course/195613/spanish-nouns-4/318/)	
el tetragrama	tetragram
el tiramisú	tiramisu
la tiroxina	thyroxine
la tocadora	toucher
el traque	"crack, bang, noisy fart"
el trinitrotolueno	trinitrotoluene
el trípoli	tripoli
la turbiedad	turbidity
la vetustez	antiquity
el vomitivo	emetic
*** 3231 - 3240 (/course/195613/spanish-nouns-4/319/)	
el zimbabuo	Zimbabwean
la medianería	"party wall, partnership, sharecropping"
la raña	frog
el alcaucil	artichoke
el ñame	yam
la bovedilla	cove
la almadraba	"tunny fishing, fishery, net"
el descifrador	"mystery solver, decipherer"
la atrapamoscas	flypaper
el desesperado	a desperate person
*** 3281 - 3290 (/course/195613/spanish-nouns-4/320/)	
el jónico	Ionic
el pijo	"knob, dick, cock"
el ñudo	"knot, joint"
el bracero	laborer
el laminado	"laminate, lamination"
el lineamiento	lineament
el guacamayo	macaw
el nematodo	nematode
(los)(las) neofascistas	neo-fascist
el diecinueve	"nineteen, nineteenth"
*** 3291 - 3300 (/course/195613/spanish-nouns-4/321/)	
el palanquín	palanquin
el centón	patchwork quilt
la flebitis	phlebitis
el piquero	pikeman
el piño	"pine, tooth"
el enlucido	"plastering, plaster"
la plaqueta	"platelet, plaquette, tile"
el asegurado	"policy holder, policy-holder, insuree"
la presuntuosa	presumptuous
el protozoario	protozoan
*** 3311 - 3320 (/course/195613/spanish-nouns-4/322/)	
el espejuelo	small looking-glass
la mojada	"soaking, wetting"
la freza	"spawn, spat, seed"
el espeleólogo	"speleologist, spelunker, potholer"
la espiroqueta	spirochaete
la espondilitis	spondylitis
el rezagado	"straggler, latecomer"
el biplaza	tandem
el tetrarca	tetrarch
la nada	"the void, nothing, void"
*** 3121 - 3130 (/course/195613/spanish-nouns-4/323/)	
la rodada	"rut, track, tyre track"
el santón	saint
la ajedrea	savory
los encestadores	scorers
la sinecura	sinecure
la endrina	sloe
la estalagmita	stalagmite
el camillero	stretcher-bearer
el estucado	"stucco, plasterwork"
el tanga	"tanga, G-string"
*** 3131 - 3140 (/course/195613/spanish-nouns-4/324/)	
los dieces	tens
el golpazo	"thump, wallop"
los tribunales	"tribunal, court"
la recalcada	upset
el vulcanólogo	volcanologist
la eñe	"with a tilde, tilde"
el palier	shield
el culantro	coriander
las comunitarias	Community
el cóccix	coccyx
*** 3151 - 3160 (/course/195613/spanish-nouns-4/325/)	
la yugoslava	Yugoslav
la aceitera	"oil cruet, oil bottle"
la acrimonia	acrimony
la acromatopsia	achromatopsia
la adicta	addict
la aerostación	aerostation
la alcaravea	caraway
la alcuza	"olive oil bottle, cruet, cruet stand"
el altimetría	altimetry
el anecdotario	anecdote
*** 3161 - 3170 (/course/195613/spanish-nouns-4/326/)	
el archimandrita	archimandrite
el arribismo	social climbing
la aventurera	adventuress
el blastodermo	blastoderm
el calicanto	masonry
la calina	haze
el campanil	campanile
la capitación	"capitation, poll, poll tax"
(el)(la) carioca	inhabitant of Rio de Janeiro
la chifla	"whistle, whistling, skiver"
*** 3261 - 3270 (/course/195613/spanish-nouns-4/327/)	
el confite	"confection, sweetmeat, sugarplum"
el anticonceptivo	contraceptive
la rea	"convict, culprit"
el cosmético	"cosmetic, beauty product"
el miedoso	"coward, scaredy cat"
(el)(la) maleante	"crook, villain"
el balero	"cup-and-ball, balero"
la natilla	custard
la cisticercosis	cysticercosis
el desorientador	disorienting
*** 3241 - 3250 (/course/195613/spanish-nouns-4/328/)	
la anfisbena	amphisbaena
(el)(la) antisemita	anti-Semite
la autohipnosis	autohypnosis
(el)(la) abulense	Avila
la avoceta	"avocet, scooper, avoset"
el lanchón	barge
el coleóptero	beetle
(el)(la) conductista	behaviorist
(el)(la) belga	Belgian
la blonda	"blond lace, silk lace"
*** 3301 - 3310 (/course/195613/spanish-nouns-4/329/)	
la ponchera	punch-bowl
los radiados	radiated
la rastrillada	raked
la tranquilizadora	reassuring
el cordoncillo	"rib, milling, soutache"
la taleguilla	satchel
el esgrafiado	sgraffito
el expedidor	"shipper, forwarder"
el guardagujas	"shunter, switchman, points man UK"
la tonta	"silly, fool, dummy"
*** 3211 - 3220 (/course/195613/spanish-nouns-4/330/)	
el quimo	chyme
el radiocasete	radiocassette
el radiocontrol	radio control
la recrudescencia	recrudescence
la runfla	Runfla
la sobrecubierta	"jacket, dust jacket"
el sombrerete	bonnet
el sueste	"southwester, sou'wester"
la telemática	telematics
la testamentaría	"execution of a will, estate"
*** 3321 - 3330 (/course/195613/spanish-nouns-4/331/)	
la tromboflebitis	thrombophlebitis
el timbalero	timpanist
el revendedor	tout
el cachivache	"trash, junk, crap"
el triplano	triplane
(el)(la) tupí	Tupi
el velillo	veil
el vienés	"Viennese, Vienna coffee, Viennese coffee"
el advertimiento	WARNINGS
el gusanito	worm
*** 3271 - 3280 (/course/195613/spanish-nouns-4/332/)	
los dinamiteros	dynamite
el soponcio	Faint
la gorda	fat woman
la cisura	fissure
(el)(la) futurista	futurist
la guardabarrera	gatekeeper
la hemólisis	hemolysis
el eremitorio	hermitage
(el)(la) homosexual	"homosexual, gay"
los entreverados	interspersed
*** 3361 - 3370 (/course/195613/spanish-nouns-4/333/)	
la browning	browning
la búfala	buffalo
la cablevisión	Cablevision
la calistenia	"callisthenics, calisthenics"
la camisita	chemise
el canelón	"cannelloni, icicle, braid"
el carajillo	black coffee with added liquor
la carbonería	coalyard
la carnosidad	fleshiness
el cascabeleo	jingle
*** 3331 - 3340 (/course/195613/spanish-nouns-4/334/)	
el yatagán	yataghan
el jabato	young wild boar
la alfabetizada	literate
la bizantina	Byzantine
la florentina	Florentine person
la hospedera	host
el nosocomio	hospital
el podenco	hound
la librepensadora	freethinker
la neófita	neophyte
*** 3381 - 3390 (/course/195613/spanish-nouns-4/335/)	
la demodulación	demodulation
el desfogue	venting
la dulcedumbre	sweetness
el entablado	"boarding, planking"
el esplín	"melancholy, depression, the blues"
la estafadora	"swindler, sharper, racketeer"
la estearina	stearin
el flirt	"fling, date, girlfriend"
la foliación	foliation
el francesito	Frenchie
*** 3251 - 3260 (/course/195613/spanish-nouns-4/336/)	
la brocheta	"brochette, skewer, kebab"
la pollada	"brood, hatch"
las rositas	buttered
el miraje	candling
los canoeros	canoeists
el fullero	"cheat, sharp, sharper"
la pamplina	chickweed
la palmada	"clap, slap, smack"
la presilla	"clip, loop, fastener"
la peinadora	comber
*** 3351 - 3360 (/course/195613/spanish-nouns-4/337/)	
la valva	valve
